dBdt,dSdt,dPdt,dVdt,t,Run
-4.7179303,294.4082,0.15199275,0.11000001,0.0,0
2.1935291,34.909485,0.009388142,0.11000001,3.0,0
3.1366987,7.2316713,-0.016480485,0.11000001,6.0,0
3.390001,-0.8387106,-0.016902875,0.11000001,9.0,0
3.4328525,-4.0022473,-0.0012190866,0.11000001,12.0,0
3.4086506,-5.3973308,0.024200937,0.11000001,15.0,0
3.3521965,-6.0472984,0.052072346,0.11000001,18.0,0
3.2519147,-6.332095,0.07744709,0.11000001,21.0,0
3.0945337,-6.403431,0.09838546,0.11000001,24.0,0
2.8792145,-6.333545,0.114791416,0.11000001,27.0,0
2.6149476,-6.1657014,0.1273465,0.11000001,30.0,0
2.315002,-5.930131,0.13692774,0.11000001,33.0,0
1.9930146,-5.6492553,0.14435923,0.11000001,36.0,0
1.6610527,-5.3398643,0.15032049,0.11000001,39.0,0
1.3289187,-5.0143943,0.15533116,0.11000001,42.0,0
1.0041577,-4.681976,0.15975694,0.11000001,45.0,0
0.69231814,-4.3492475,0.16382854,0.11000001,48.0,0
0.3973505,-4.0210257,0.16765553,0.11000001,51.0,0
0.12192344,-3.7008417,0.1712507,0.11000001,54.0,0
-0.132226,-3.3912585,0.17454529,0.11000001,57.0,0
-0.36408263,-3.0942903,0.17741147,0.11000001,60.0,0
-0.57313704,-2.8114595,0.1796833,0.11000001,63.0,0
-0.75925994,-2.5440066,0.18117715,0.11000001,66.0,0
-0.92261994,-2.2929223,0.18171553,0.11000001,69.0,0
-1.0636301,-2.0589705,0.1811421,0.11000001,72.0,0
-1.182905,-1.8427118,0.17933819,0.11000001,75.0,0
-1.2812567,-1.6444728,0.17623495,0.11000001,78.0,0
-1.3596579,-1.4643433,0.17181534,0.11000001,81.0,0
-1.4192436,-1.3021759,0.16611692,0.11000001,84.0,0
-1.461281,-1.1575735,0.15922715,0.11000001,87.0,0
-1.4871407,-1.0299275,0.15127546,0.11000001,90.0,0
-1.4982709,-0.9184223,0.14242415,0.11000001,93.0,0
-1.496157,-0.8221031,0.13285668,0.11000001,96.0,0
-1.4823108,-0.73985416,0.12276703,0.11000001,99.0,0
-1.4582196,-0.67051494,0.11235034,0.11000001,102.0,0
-1.4253114,-0.61285084,0.10179409,0.11000001,105.0,0
-1.3849686,-0.56562257,0.09127213,0.11000001,108.0,0
-1.3384782,-0.52761006,0.08093854,0.11000001,111.0,0
-1.2870362,-0.4976104,0.070926376,0.11000001,114.0,0
-1.2317218,-0.4745204,0.06134587,0.11000001,117.0,0
-1.1735315,-0.45727268,0.052283514,0.11000001,120.0,0
-1.1133299,-0.4449009,0.04380458,0.11000001,123.0,0
-1.0518936,-0.4365155,0.035954546,0.11000001,126.0,0
-0.98989344,-0.43132237,0.02875918,0.11000001,129.0,0
-0.92791265,-0.42861065,0.022230607,0.11000001,132.0,0
-0.8664293,-0.42775777,0.016366098,0.11000001,135.0,0
-0.8058718,-0.42820817,0.011152764,0.11000001,138.0,0
-0.7465661,-0.42949992,0.006569942,0.11000001,141.0,0
-0.68880266,-0.4312315,0.0025884646,0.11000001,144.0,0
-0.632791,-0.43305978,-0.00082351564,0.11000001,147.0,0
-0.57871366,-0.43469018,-0.0037023807,0.11000001,150.0,0
-0.5266839,-0.43591765,-0.0060865926,0.11000001,153.0,0
-0.47679478,-0.43653172,-0.008013655,0.11000001,156.0,0
-0.4291043,-0.43639162,-0.009523168,0.11000001,159.0,0
-0.38364193,-0.4353935,-0.0106526725,0.11000001,162.0,0
-0.34040746,-0.4334452,-0.011439573,0.11000001,165.0,0
-0.29938892,-0.4304877,-0.011917679,0.11000001,168.0,0
-0.26056826,-0.42649344,-0.012121309,0.11000001,171.0,0
-0.22388475,-0.4214417,-0.012081655,0.11000001,174.0,0
-0.18928877,-0.41532597,-0.011826568,0.11000001,177.0,0
-0.15672548,-0.40816894,-0.011383419,0.11000001,180.0,0
-0.12612523,-0.39997962,-0.0107766595,0.11000001,183.0,0
-0.097409904,-0.3907915,-0.01002907,0.11000001,186.0,0
-0.07050635,-0.38065004,-0.009160448,0.11000001,189.0,0
-0.045340035,-0.36958352,-0.008189504,0.11000001,192.0,0
-0.021829296,-0.35764614,-0.007131983,0.11000001,195.0,0
9.685067e-05,-0.3448791,-0.00600346,0.11000001,198.0,0
-4.7179303,269.6582,0.15199275,0.11000001,0.0,1
1.868092,32.32793,0.020901624,0.11000001,3.0,1
2.7986631,6.940028,-0.0028989667,0.11000001,6.0,1
3.069997,-0.5237997,-0.004820826,0.11000001,9.0,1
3.1291726,-3.490729,0.0070421784,0.11000001,12.0,1
3.1085575,-4.806035,0.02844833,0.11000001,15.0,1
3.0533323,-5.4113355,0.053800516,0.11000001,18.0,1
2.9650986,-5.6741834,0.07833651,0.11000001,21.0,1
2.835121,-5.745282,0.099572875,0.11000001,24.0,1
2.6607008,-5.6934767,0.116845064,0.11000001,27.0,1
2.4467857,-5.556916,0.13044076,0.11000001,30.0,1
2.202694,-5.3609114,0.14100432,0.11000001,33.0,1
1.9389186,-5.123986,0.14923003,0.11000001,36.0,1
1.6652668,-4.860079,0.15573193,0.11000001,39.0,1
1.3900023,-4.579739,0.16099471,0.11000001,42.0,1
1.1196421,-4.2909155,0.16537236,0.11000001,45.0,1
