tB,tS,tP,tV,t,Run
23.427101,42.558643,1.7307006,0.2,0.0,0
10.047301,383.51215,1.7022341,0.53000003,3.0,0
21.043722,408.45016,0.98664564,0.86000013,6.0,0
31.852137,413.58734,0.7433837,1.1900002,9.0,0
42.213776,411.8488,0.67404985,1.5200001,12.0,0
52.134834,406.20612,0.70277715,1.8500003,15.0,0
61.688194,397.25037,0.79871434,2.1800003,18.0,0
70.96367,384.96744,0.94497997,2.5100005,21.0,0
80.04069,369.277,1.1303034,2.8400006,24.0,0
88.96861,350.21292,1.3463787,3.1700003,27.0,0
97.75099,327.98544,1.5872161,3.5,30.0,0
106.33165,303.01297,1.8494706,3.83,33.0,0
114.58093,275.95456,2.1334927,4.1600003,36.0,0
122.28285,247.74841,2.444991,4.4900007,39.0,0
129.12701,219.64685,2.7967205,4.8200006,42.0,0
134.71652,193.20747,3.2089727,5.150001,45.0,0
138.6129,170.15762,3.706334,5.4800014,48.0,0
140.44176,152.01346,4.307904,5.8100014,51.0,0
140.05774,139.43483,5.011356,6.140001,54.0,0
137.69496,131.6422,5.7805114,6.4700003,57.0,0
133.96222,126.57287,6.553153,6.8,60.0,0
129.61523,122.01422,7.2724786,7.1299996,63.0,0
125.26086,116.780235,7.916007,7.46,66.0,0
121.2264,110.87222,8.495228,7.7900004,69.0,0
117.6208,104.85254,9.034376,8.120001,72.0,0
114.44582,99.28062,9.552915,8.450001,75.0,0
111.664185,94.5115,10.060459,8.780002,78.0,0
109.22374,90.69953,10.558951,9.110002,81.0,0
107.06376,87.84834,11.046471,9.440002,84.0,0
105.11724,85.85712,11.520229,9.770002,87.0,0
103.31409,84.55967,11.978204,10.100002,90.0,0
101.58371,83.75631,12.41972,10.430003,93.0,0
99.85682,83.23682,12.845303,10.760003,96.0,0
98.06543,82.79399,13.256149,11.090004,99.0,0
96.14193,82.22842,13.653376,11.420005,102.0,0
94.01796,81.3495,14.037107,11.750006,105.0,0
91.624664,79.9764,14.405307,12.080007,108.0,0
88.89676,77.94538,14.752272,12.410007,111.0,0
85.78332,75.13077,15.066841,12.740008,114.0,0
82.26951,71.48516,15.330963,13.070009,117.0,0
78.408356,67.09443,15.520257,13.40001,120.0,0
74.34941,62.218727,15.609156,13.730011,123.0,0
70.33496,57.269745,15.581717,14.060012,126.0,0
66.63612,52.699245,15.443673,14.390014,129.0,0
63.451317,48.851048,15.225662,14.720015,132.0,0
60.840225,45.879055,14.97237,15.050015,135.0,0
58.73985,43.76531,14.725211,15.380016,138.0,0
57.030735,42.388954,14.510891,15.710017,141.0,0
55.594765,41.593994,14.340142,16.040018,144.0,0
54.340847,41.232952,14.212499,16.37002,147.0,0
53.207172,41.186096,14.121895,16.70002,150.0,0
52.154392,41.364506,14.060644,17.030022,153.0,0
51.15813,41.70521,14.021533,17.360022,156.0,0
50.20332,42.165012,13.998603,17.690023,159.0,0
49.280514,42.713974,13.987284,18.020023,162.0,0
48.383587,43.33182,13.984224,18.350025,165.0,0
47.50844,44.00438,13.987044,18.680025,168.0,0
46.652077,44.72184,13.994081,19.010027,171.0,0
45.812298,45.477257,14.004182,19.340027,174.0,0
44.98734,46.26579,14.01657,19.670029,177.0,0
44.175674,47.08389,14.030711,20.00003,180.0,0
43.37601,47.929066,14.046241,20.33003,183.0,0
42.587196,48.7995,14.062912,20.660032,186.0,0
41.80815,49.69391,14.080555,20.990032,189.0,0
41.037865,50.61135,14.099055,21.320034,192.0,0
40.275414,51.551243,14.118329,21.650034,195.0,0
39.519928,52.513126,14.13832,21.980034,198.0,0
13.9095955,39.96578,-0.38188395,0.2,0.0,1
4.5434155,384.15912,1.744376,0.53000003,3.0,1
16.72525,395.87,1.1753043,0.86000013,6.0,1
27.918936,394.92343,0.96410847,1.1900002,9.0,1
38.494762,390.30338,0.88943434,1.5200001,12.0,1
48.56834,383.78638,0.8965048,1.8500003,15.0,1
58.219563,375.3964,0.9638466,2.1800003,18.0,1
67.524765,364.72055,1.0798061,2.5100005,21.0,1
76.55137,351.35092,1.2363572,2.8400006,24.0,1
85.34368,335.05023,1.4272667,3.1700003,27.0,1
93.907425,315.8136,1.6478342,3.5,30.0,1
102.19493,293.8917,1.8953872,3.83,33.0,1
110.09149,269.8061,2.1703627,4.1600003,36.0,1
117.4042,244.36583,2.4776824,4.4900007,39.0,1
123.85791,218.67325,2.828012,4.8200006,42.0,1
129.10814,194.08614,3.2377145,5.150001,45.0,1
132.78734,172.0711,3.7256784,5.4800014,48.0,1
134.59921,153.87689,4.305286,5.8100014,51.0,1
134.4498,140.05447,4.972867,6.140001,54.0,1
132.55165,130.09177,5.7003555,6.4700003,57.0,1
129.4024,122.589905,6.442658,6.8,60.0,1
125.610725,116.04129,7.1592536,7.1299996,63.0,1
121.68731,109.5854,7.832055,7.46,66.0,1
117.9473,103.138,8.464607,7.7900004,69.0,1
114.53683,97.033066,9.068764,8.120001,72.0,1
111.49904,91.653046,9.653504,8.450001,75.0,1
108.82116,87.248764,10.221608,8.780002,78.0,1
106.45787,83.899254,10.771392,9.110002,81.0,1
104.34377,81.534645,11.299727,9.440002,84.0,1
102.402664,79.981445,11.804241,9.770002,87.0,1
100.554794,79.0105,12.284184,10.100002,90.0,1
98.72155,78.374855,12.740275,10.430003,93.0,1
96.82714,77.83333,13.173962,10.760003,96.0,1
94.7988,77.16146,13.586448,11.090004,99.0,1
92.56648,76.15509,13.977545,11.420005,102.0,1
90.06452,74.63406,14.34439,11.750006,105.0,1
87.23795,72.45391,14.679993,12.080007,108.0,1
84.055824,69.530914,14.971939,12.410007,111.0,1
80.53323,65.88218,15.202179,12.740008,114.0,1
76.756226,61.665863,15.349528,13.070009,117.0,1
72.89276,57.190098,15.396459,13.40001,120.0,1
69.1659,52.853275,15.338852,13.730011,123.0,1
65.78506,49.025455,15.19268,14.060012,126.0,1
62.873127,45.9401,14.991056,14.390014,129.0,1
60.441364,43.661587,14.772208,14.720015,132.0,1
58.42083,42.125874,14.567006,15.050015,135.0,1
56.713543,41.206043,14.393229,15.380016,138.0,1
55.229156,40.76369,14.256725,15.710017,141.0,1
53.898785,40.67745,14.155667,16.040018,144.0,1
52.67503,40.852333,14.08466,16.37002,147.0,1
51.526833,41.218674,14.037449,16.70002,150.0,1
50.434193,41.726982,14.008299,17.030022,153.0,1
49.384254,42.342735,13.99251,17.360022,156.0,1
48.3685,43.041943,13.986478,17.690023,159.0,1
47.381165,43.8077,13.987536,18.020023,162.0,1
46.418102,44.62804,13.993776,18.350025,165.0,1
45.476162,45.494568,14.003858,18.680025,168.0,1
44.55295,46.401237,14.016831,19.010027,171.0,1
43.646355,47.343575,14.032054,19.340027,174.0,1
