dTdt,dEBdt,dStydt,dH2dt,dBeEtdt,dToMedt,t,Run
-70.2437,-2.0736818,1.7741739,1.72088,0.24674344,0.0437856,0.0,0
-58.767284,-1.7604067,1.5185282,1.4577425,0.19513436,0.049354777,0.12,0
-50.268253,-1.5263002,1.3235909,1.258837,0.15867624,0.052824795,0.24,0
-43.72393,-1.3439037,1.1689178,1.1024406,0.13192923,0.05487347,0.36,0
-38.514442,-1.1970216,1.0424957,0.9756265,0.111646466,0.055960428,0.48,0
-34.255455,-1.0756636,0.9367985,0.8703203,0.09584235,0.056390427,0.6,0
-30.699162,-0.9733664,0.8468581,0.78123313,0.08325431,0.05636796,0.72,0
-27.679308,-0.8857659,0.76925004,0.7047503,0.07304734,0.056032803,0.84,0
-25.080074,-0.80979943,0.70152706,0.6383084,0.06464895,0.055482417,0.96,0
-22.818089,-0.74324405,0.64188474,0.58003,0.05765373,0.054785702,1.08,0
-20.831644,-0.6844425,0.588958,0.5285042,0.051767275,0.05399214,1.2,0
-19.07387,-0.6321249,0.5416903,0.48264286,0.046769984,0.053137463,1.3199999999999998,0
-17.508455,-0.5853013,0.49924773,0.44159243,0.042495314,0.05224777,1.44,0
-16.106688,-0.5431831,0.4609611,0.40467033,0.03881448,0.051342126,1.56,0
-14.845538,-0.50513166,0.42628485,0.37132198,0.035626385,0.050434437,1.68,0
-13.706243,-0.4706259,0.39476955,0.34109256,0.03285081,0.04953495,1.7999999999999998,0
-12.673347,-0.4392309,0.36603937,0.31360266,0.030423036,0.048650954,1.92,0
-11.733953,-0.41058326,0.3397771,0.2885338,0.028290508,0.04778768,2.04,0
-10.877214,-0.38437468,0.31571355,0.26561546,0.026410434,0.046948753,2.16,0
-10.093904,-0.36034194,0.2936175,0.24461657,0.024747029,0.046136644,2.28,0
-9.376124,-0.3382589,0.273289,0.2253381,0.023270667,0.04535279,2.4,0
-8.717094,-0.31792897,0.25455415,0.20760697,0.021956576,0.04459805,2.52,0
-8.110898,-0.2991808,0.23726149,0.19127262,0.02078374,0.0438727,2.64,0
-7.552395,-0.28186482,0.22127663,0.17620309,0.019734442,0.043176606,2.76,0
-7.0370364,-0.26584855,0.20648193,0.16228141,0.01879349,0.04250938,2.88,0
-6.560876,-0.2510155,0.19277255,0.14940518,0.017948033,0.041870367,3.0,0
-6.1203756,-0.23726095,0.18005438,0.13748224,0.017186759,0.041258805,3.12,0
-5.712379,-0.22449294,0.16824472,0.12643062,0.016500143,0.040673774,3.24,0
-5.334104,-0.2126275,0.1572684,0.11617713,0.015879834,0.0401143,3.36,0
-4.983033,-0.20159127,0.14705777,0.10665655,0.015318559,0.039579354,3.48,0
-4.65693,-0.19131571,0.1375517,0.09780838,0.014809858,0.03906788,3.6,0
-4.353747,-0.18174121,0.12869525,0.089580186,0.014348309,0.038578816,3.72,0
-4.071658,-0.17281224,0.12043843,0.081923015,0.013929053,0.038111098,3.84,0
-3.8090115,-0.164479,0.11273571,0.07479256,0.013547755,0.03766374,3.96,0
-3.5642793,-0.1566962,0.10554563,0.068149254,0.0132006,0.037235685,4.08,0
-3.3361075,-0.14942202,0.09882987,0.061956167,0.0128842555,0.0368259,4.2,0
-3.1232266,-0.1426193,0.09255459,0.056180425,0.012595786,0.036433455,4.32,0
-2.9245203,-0.13625306,0.08668742,0.050790917,0.012332414,0.03605743,4.44,0
-2.7389343,-0.13029204,0.08119963,0.045760117,0.012092031,0.03569697,4.56,0
-2.5654957,-0.12470643,0.076064184,0.041062087,0.011872248,0.03535112,4.68,0
-2.403364,-0.11947072,0.07125679,0.036673848,0.011671433,0.03501918,4.8,0
-2.2516747,-0.114559054,0.066754416,0.032572806,0.011487675,0.034700267,4.92,0
-2.1097426,-0.109949425,0.062536225,0.028739572,0.0113195805,0.0343937,5.04,0
-1.9768466,-0.105621,0.058582854,0.02515547,0.011165758,0.034098823,5.16,0
-1.8523697,-0.10155401,0.054876454,0.021803765,0.011024931,0.033814855,5.279999999999999,0
-1.7357275,-0.09773152,0.05140064,0.018668432,0.010896067,0.033541206,5.4,0
-1.6263883,-0.09413604,0.048139937,0.015734736,0.010778169,0.033277288,5.52,0
-1.5238402,-0.090753116,0.045080133,0.012989351,0.010670243,0.03302256,5.64,0
-1.4276255,-0.08756812,0.04220825,0.010420002,0.010571512,0.03277643,5.76,0
-1.3373233,-0.08456806,0.039511405,0.008014929,0.01048124,0.03253843,5.88,0
-1.2525445,-0.08174065,0.036979225,0.005763393,0.010398771,0.03230805,6.0,0
-1.1728963,-0.07907482,0.0346004,0.0036551666,0.010323367,0.032084845,6.12,0
-1.0980521,-0.07655984,0.032365452,0.0016810135,0.0102545805,0.031868402,6.24,0
-1.0277017,-0.0741863,0.030265044,-0.00016740781,0.010191845,0.03165832,6.359999999999999,0
-0.9615368,-0.07194452,0.028290475,-0.001898503,0.010134683,0.031454206,6.48,0
-0.8993014,-0.069826245,0.026434207,-0.003519655,0.010082695,0.031255707,6.6,0
-0.8407093,-0.06782378,0.024688823,-0.0050375434,0.010035454,0.031062508,6.72,0
-0.785547,-0.06592923,0.02304653,-0.0064596147,0.009992653,0.030874228,6.84,0
-0.73359483,-0.06413645,0.02150219,-0.0077908556,0.0099539105,0.030690657,6.96,0
-0.684621,-0.06243877,0.020048743,-0.009037657,0.00991893,0.030511446,7.08,0
-0.6384623,-0.060830396,0.018681157,-0.010204813,0.009887453,0.03033638,7.199999999999999,0
-0.59491926,-0.05930531,0.017394036,-0.01129763,0.00985918,0.030165192,7.319999999999999,0
-0.55383873,-0.057858452,0.016182229,-0.012321094,0.009833923,0.029997628,7.439999999999999,0
-0.5150474,-0.056484994,0.01504148,-0.013278527,0.009811412,0.02983348,7.56,0
-0.47841424,-0.055180736,0.013967157,-0.014174757,0.009791499,0.029672557,7.68,0
-0.44378415,-0.053940643,0.012955219,-0.015013202,0.009773954,0.02951469,7.8,0
-0.4110523,-0.052761618,0.012002102,-0.015797475,0.009758628,0.029359652,7.92,0
-0.38008168,-0.05163937,0.011104096,-0.016531186,0.009745372,0.02920726,8.04,0
-0.3507655,-0.050570507,0.01025826,-0.017217053,0.0097339675,0.029057385,8.16,0
-0.32299292,-0.049551867,0.009461069,-0.017858049,0.009724354,0.028909894,8.28,0
-0.29669943,-0.04858083,0.00871006,-0.018456856,0.009716513,0.028764637,8.4,0
-0.27174804,-0.047653224,0.008001965,-0.019016288,0.009710024,0.02862144,8.52,0
-0.2480722,-0.04676813,0.007335018,-0.019538326,0.0097050285,0.028480226,8.64,0
-0.2255974,-0.045921523,0.0067055463,-0.02002572,0.009701307,0.028340865,8.76,0
-0.2042551,-0.045112032,0.0061126314,-0.020480067,0.009698958,0.02820324,8.879999999999999,0
-0.18395261,-0.04433686,0.005553223,-0.020903733,0.009697604,0.02806722,9.0,0
-0.16463755,-0.043594483,0.005025743,-0.021298122,0.009697395,0.027932748,9.12,0
-0.14624138,-0.042882197,0.0045286096,-0.021665538,0.009698082,0.027799748,9.24,0
-0.12873389,-0.042198982,0.004059473,-0.022006776,0.009699774,0.027668115,9.36,0
-0.1120123,-0.041542757,0.0036173768,-0.022324175,0.009702302,0.02753776,9.48,0
-0.09607661,-0.040912148,0.0032001906,-0.022618784,0.009705606,0.0274086,9.6,0
