Temp,EB,Sty,H2,BeEt,ToMe,t,Run
138.58623,4.344587,-0.63976836,0.29302412,0.027716747,-0.012803188,0.0,0
137.08621,4.4113765,-0.34945688,0.36265394,0.025099363,-0.010096264,0.12,0
134.00383,4.478127,-0.08345675,0.47290537,0.029435515,0.0029472036,0.24,0
130.29366,4.5463963,0.16539384,0.58956915,0.035992965,0.016684309,0.36,0
126.134895,4.613182,0.3967793,0.70288676,0.0438933,0.028790772,0.48,0
121.52797,4.6743846,0.60848165,0.80881375,0.05314735,0.038559727,0.6,0
116.43941,4.7257547,0.79792845,0.90512645,0.06395219,0.04571045,0.72,0
110.84734,4.762874,0.96313107,0.9909901,0.07652956,0.050220814,0.84,0
104.770035,4.781048,1.1035966,1.0673326,0.09106096,0.052388046,0.96,0
98.29403,4.775546,1.2210889,1.1370995,0.10759517,0.05288138,1.08,0
91.59467,4.74242,1.3198303,1.2047812,0.1259074,0.052674554,1.2,0
84.926155,4.679553,1.4059074,1.2751144,0.1454114,0.052872952,1.3199999999999998,0
78.56039,4.586642,1.4864401,1.3517971,0.16532984,0.054623943,1.44,0
72.69357,4.462769,1.5697763,1.4373598,0.1852009,0.059298653,1.56,0
67.38563,4.301988,1.667463,1.5342166,0.20545687,0.068871185,1.68,0
62.604603,4.0912805,1.7959267,1.644923,0.22747213,0.08594454,1.7999999999999998,0
58.47358,3.825016,1.9674051,1.7662686,0.25167704,0.11146398,1.92,0
55.573856,3.5411122,2.1624484,1.877807,0.27375022,0.13946351,2.04,0
54.366173,3.2983863,2.340523,1.9569455,0.28796035,0.16094847,2.16,0
54.577274,3.112608,2.4873114,2.0026865,0.29390594,0.17345542,2.28,0
55.73366,2.9730976,2.6087372,2.0236254,0.29370335,0.17859341,2.4,0
57.498486,2.8698978,2.712117,2.0267131,0.28897354,0.17827396,2.52,0
59.635456,2.7986877,2.8009253,2.0164335,0.28063527,0.17405012,2.64,0
61.926907,2.7589219,2.874733,1.9961014,0.26933134,0.1672551,2.76,0
64.12882,2.7509441,2.9305284,1.9688932,0.25580367,0.15908918,2.88,0
65.97045,2.7730174,2.9648945,1.9384466,0.241115,0.15060705,3.0,0
67.193085,2.8190844,2.976598,1.9090672,0.22666363,0.14274013,3.12,0
67.61085,2.8784578,2.9684837,1.8853705,0.21396591,0.13638252,3.24,0
67.16557,2.9380777,2.947334,1.871238,0.20427349,0.13235968,3.36,0
65.94246,2.9861708,2.9215782,1.8686248,0.19823803,0.13120407,3.48,0
64.134315,3.0148942,2.898511,1.8771478,0.19584198,0.13295712,3.6,0
61.980713,3.0210702,2.8825245,1.8945774,0.19655892,0.137159,3.72,0
59.716335,3.0058587,2.8745031,1.9176517,0.1995558,0.14296961,3.84,0
57.536663,2.9738941,2.8721936,1.9428796,0.20386586,0.14936881,3.96,0
55.575504,2.9316654,2.871507,1.9673188,0.20857301,0.1554303,4.08,0
53.894943,2.8854337,2.8682637,1.9891611,0.21299556,0.16057238,4.2,0
52.492596,2.8396738,2.859448,2.0078628,0.21678281,0.16464491,4.32,0
51.322582,2.796644,2.8435082,2.0238352,0.21988903,0.16783607,4.44,0
50.31932,2.7568111,2.819993,2.0379796,0.22247373,0.17050405,4.56,0
49.416073,2.719574,2.788995,2.051298,0.22479138,0.17303342,4.68,0
48.555805,2.6839359,2.7506843,2.0646565,0.22710592,0.17575285,4.8,0
47.695244,2.6489959,2.7050102,2.0786834,0.22963737,0.1789098,4.92,0
46.804287,2.6142502,2.6515522,2.0937543,0.23253633,0.18268271,5.04,0
45.86327,2.5797312,2.5894897,2.1100144,0.23587689,0.18721142,5.16,0
44.860493,2.5460448,2.5176787,2.1273963,0.2396546,0.19262862,5.279999999999999,0
43.79258,2.5143573,2.434838,2.1455832,0.24377625,0.19907787,5.4,0
42.66967,2.4863183,2.3399138,2.1638882,0.24803257,0.20670536,5.52,0
41.526363,2.4638288,2.2327523,2.1810377,0.2520574,0.21561119,5.64,0
40.43475,2.448385,2.115168,2.1949372,0.2553089,0.2257565,5.76,0
39.505512,2.4397697,1.9921397,2.2026827,0.25715765,0.23686072,5.88,0
38.856007,2.4345152,1.8720858,2.2012212,0.25715706,0.24838935,6.0,0
38.54934,2.4258394,1.7649641,2.1886628,0.25536814,0.25971583,6.12,0
38.559822,2.4064727,1.6788515,2.1653373,0.2523795,0.27036178,6.24,0
38.804882,2.372437,1.6178497,2.133703,0.24893263,0.2801175,6.359999999999999,0
39.200558,2.324399,1.5825815,2.0973866,0.24555063,0.28900185,6.48,0
39.686527,2.2662847,1.5716935,2.0601785,0.24246006,0.29715842,6.6,0
40.22078,2.2031112,1.5828774,2.0253484,0.23971032,0.30476156,6.72,0
40.76698,2.1393738,1.6132591,1.9952879,0.23731095,0.31195524,6.84,0
41.28762,2.0782773,1.6595057,1.9714048,0.23530698,0.31882447,6.96,0
41.744484,2.0216424,1.7178974,1.9541905,0.23378912,0.3253914,7.08,0
42.103367,1.9702334,1.7844483,1.9433936,0.23286365,0.3316267,7.199999999999999,0
42.33971,1.9242419,1.8551005,1.9382341,0.2326087,0.33746624,7.319999999999999,0
42.442657,1.8837098,1.925981,1.9376212,0.2330392,0.3428295,7.439999999999999,0
42.415955,1.848761,1.9936926,1.9403515,0.23409398,0.34763888,7.56,0
42.275627,1.8196275,2.0555706,1.9452764,0.23564751,0.3518385,7.68,0
42.045403,1.7965434,2.10984,1.9514241,0.23753767,0.35540923,7.8,0
41.75162,1.7796175,2.1556292,1.958063,0.23959635,0.35837644,7.92,0
41.419228,1.7687622,2.1928587,1.9647065,0.24167283,0.36080742,8.04,0
41.06927,1.763692,2.2220516,1.971077,0.24364567,0.36280066,8.16,0
40.71797,1.7639695,2.2441308,1.9770519,0.24542549,0.36447164,8.28,0
40.37676,1.7690653,2.2602398,1.9826082,0.24695268,0.36593872,8.4,0
40.05281,1.7784104,2.2716088,1.9877816,0.2481929,0.3673122,8.52,0
39.749798,1.7914374,2.2794592,1.9926351,0.24913193,0.36868688,8.64,0
39.468628,1.8076056,2.284943,1.9972429,0.24977158,0.37013876,8.76,0
39.208084,1.8264189,2.289103,2.00168,0.2501258,0.37172338,8.879999999999999,0
38.965378,1.8474367,2.2928498,2.0060182,0.2502176,0.3734772,9.0,0
38.736614,1.8702811,2.2969475,2.010325,0.250076,0.3754197,9.12,0
38.51714,1.8946403,2.302009,2.0146627,0.24973404,0.3775561,9.24,0
38.301884,1.9202693,2.3084967,2.0190885,0.24922627,0.37988082,9.36,0
38.085617,1.946988,2.3167295,2.023653,0.24858706,0.38238037,9.48,0
37.863194,1.974679,2.3268936,2.0284023,0.24784884,0.38503635,9.6,0
37.629753,2.0032787,2.3390598,2.0333748,0.24704108,0.38782784,9.72,0
37.3809,2.0327742,2.353202,2.038602,0.24618892,0.39073363,9.84,0
37.112835,2.0631924,2.3692174,2.0441086,0.2453127,0.3937336,9.96,0
36.822403,2.0945954,2.3869474,2.0499113,0.24442746,0.39681,10.08,0
36.507175,2.1270726,2.4061975,2.0560186,0.24354272,0.399948,10.2,0
36.165424,2.160734,2.426756,2.0624332,0.24266286,0.40313628,10.32,0
35.796078,2.1957054,2.4484084,2.0691507,0.24178723,0.406367,10.44,0
35.39867,2.2321231,2.4709527,2.076161,0.24091066,0.4096356,10.56,0
34.97324,2.2701294,2.4942095,2.083449,0.24002437,0.41294047,10.68,0
34.52021,2.309868,2.5180275,2.0909956,0.23911656,0.41628256,10.8,0
34.040287,2.351481,2.5422907,2.0987782,0.23817335,0.41966444,10.92,0
33.534325,2.3951037,2.5669172,2.1067703,0.23717967,0.42308995,11.04,0
33.00324,2.4408638,2.5918603,2.1149433,0.23612006,0.42656308,11.16,0
32.44789,2.4888787,2.6171033,2.1232643,0.23497944,0.43008754,11.28,0
31.869026,2.5392523,2.6426544,2.1316977,0.23374364,0.4336656,11.4,0
31.26723,2.5920758,2.6685426,2.1402035,0.23239994,0.43729773,11.52,0
30.642914,2.6474247,2.6948094,2.148737,0.23093748,0.44098172,11.64,0
29.996288,2.7053592,2.7215052,2.157248,0.2293473,0.4447123,11.76,0
29.327427,2.7659223,2.7486832,2.1656814,0.22762263,0.44848034,11.88,0
28.6363,2.8291366,2.7763977,2.1739757,0.22575882,0.45227247,12.0,0
133.33063,3.1977766,-0.3531154,-0.05150545,-0.00063610886,0.0031313307,0.0,1
127.23736,3.0334504,-0.07114544,0.059295394,0.031344485,0.00030584188,0.12,1
118.973495,2.8030257,0.13285297,0.1499138,0.072301686,-0.0071563665,0.24,1
110.34461,2.5131721,0.29787382,0.24012777,0.11634371,-0.015955698,0.36,1
