x,y,t,Run
1.0,1.0,0.0,0
0.9997978,0.5462512,0.25,0
1.2391453,0.27401444,0.55,0
1.6197436,0.16681024,0.8,0
2.2003522,0.114394024,1.05,0
3.0425487,0.093576565,1.3,0
4.50775,0.10328521,1.6,0
6.152775,0.16613615,1.85,0
7.8547964,0.41264814,2.1,0
7.712043,1.3313854,2.35,0
3.3804002,2.5958397,2.6500000000000004,0
1.5201097,1.9544747,2.9000000000000004,0
1.0335345,1.1329083,3.1500000000000004,0
0.9823769,0.6196634,3.4000000000000004,0
1.1809213,0.30729666,3.7,0
1.525123,0.1835575,3.95,0
2.0595424,0.12226019,4.2,0
2.8408237,0.095852725,4.45,0
4.21152,0.09823177,4.75,0
5.7813954,0.14525361,5.0,0
