tB,tS,tP,tV,t,Run
5.0,0.0,0.0,0.2,0.0,0
60.24187,352.21158,0.30799234,2.51,21.0,0
130.20312,185.92102,2.8184805,5.15,45.0,0
129.4882,118.43028,6.83121,7.46,66.0,0
105.2338,86.63485,10.915904,9.77,87.0,0
76.946045,70.36394,13.934895,12.41,111.0,0
59.23521,63.957355,14.916036,14.72,132.0,0
47.49853,60.552326,14.863549,17.03,153.0,0
38.870823,58.034782,14.198417,19.67,177.0,0
33.797985,56.232693,13.445222,21.98,198.0,0
5.0,0.0,0.0,0.2,0.0,1
50.84469,331.29654,0.27410737,2.51,21.0,1
115.974525,175.64229,2.6254897,5.15,45.0,1
115.27492,111.69635,6.4288754,7.46,66.0,1
93.10399,81.94916,10.249657,9.77,87.0,1
67.84513,66.985306,13.000984,12.41,111.0,1
52.28032,61.215244,13.848554,14.72,132.0,1
42.053368,58.200455,13.7540045,17.03,153.0,1
34.566902,55.972073,13.111129,19.67,177.0,1
30.1659,54.349117,12.406665,21.98,198.0,1
5.0,0.0,0.0,0.2,0.0,2
60.569176,355.55847,0.3064328,2.51,21.0,2
131.01659,186.18416,2.8336256,5.15,45.0,2
130.38297,118.94434,6.8521285,7.46,66.0,2
105.71033,86.54665,10.976966,9.77,87.0,2
77.108345,70.4492,14.000686,12.41,111.0,2
59.19692,63.796898,14.978738,14.72,132.0,2
47.4956,60.67406,14.899919,17.03,153.0,2
38.976185,58.38839,14.210112,19.67,177.0,2
33.84036,56.13545,13.467111,21.98,198.0,2
5.0,0.0,0.0,0.2,0.0,3
50.347816,331.98215,0.27065217,2.51,21.0,3
117.08892,179.1695,2.5991914,5.15,45.0,3
118.73746,116.12449,6.3671837,7.46,66.0,3
98.47473,86.729935,10.189579,9.77,87.0,3
74.24224,71.893616,13.052646,12.41,111.0,3
58.906517,66.14739,14.076956,14.72,132.0,3
48.666817,63.1293,14.185057,17.03,153.0,3
41.09593,60.892258,13.7658415,19.67,177.0,3
36.622417,59.27204,13.236833,21.98,198.0,3
5.0,0.0,0.0,0.2,0.0,4
62.983643,366.19797,0.30971876,2.51,21.0,4
140.33667,198.1158,2.8356779,5.15,45.0,4
140.20258,120.061806,7.0683455,7.46,66.0,4
108.494705,79.95309,11.749385,9.77,87.0,4
72.731964,63.977615,15.056236,12.41,111.0,4
54.94744,64.01606,15.467024,14.72,132.0,4
46.72679,65.78526,14.743192,17.03,153.0,4
41.365883,62.02848,13.876568,19.67,177.0,4
36.011368,55.101562,13.420567,21.98,198.0,4
5.0,0.0,0.0,0.2,0.0,5
70.82757,375.11774,0.3439583,2.51,21.0,5
146.05667,197.64487,3.0065472,5.15,45.0,5
145.71152,126.06041,7.230348,7.46,66.0,5
119.34288,91.87808,11.603516,9.77,87.0,5
87.63162,74.09502,14.933323,12.41,111.0,5
67.39758,66.96638,16.077654,14.72,132.0,5
53.859135,63.128777,16.081871,17.03,153.0,5
43.864357,60.29683,15.397048,19.67,177.0,5
37.98971,58.301277,14.590655,21.98,198.0,5
10.0,0.0,0.0,0.2,0.0,6
66.27806,339.1947,0.3850944,2.51,21.0,6
130.58615,183.13876,2.9538548,5.15,45.0,6
128.84029,117.924225,6.9278545,7.46,66.0,6
104.75375,86.66114,10.945175,9.77,87.0,6
76.772255,70.46716,13.917033,12.41,111.0,6
59.192585,64.02669,14.888635,14.72,132.0,6
47.50083,60.5841,14.84055,17.03,153.0,6
38.881332,58.040974,14.183782,19.67,177.0,6
33.80499,56.23005,13.436318,21.98,198.0,6
7.5,0.0,0.0,0.2,0.0,7
63.83047,344.42133,0.35188636,2.51,21.0,7
130.43027,184.24661,2.8981876,5.15,45.0,7
129.09695,118.126305,6.8882933,7.46,66.0,7
104.944466,86.65098,10.932832,9.77,87.0,7
76.841415,70.426155,13.923715,12.41,111.0,7
59.209583,63.9991,14.899265,14.72,132.0,7
47.49994,60.571438,14.849528,17.03,153.0,7
38.877155,58.038506,14.189499,19.67,177.0,7
33.8022,56.231094,13.439791,21.98,198.0,7
5.0,0.0,0.0,0.2,0.0,8
58.70074,347.2731,0.3086113,2.09,21.0,8
128.72748,185.05037,2.8026407,4.25,45.0,8
128.48502,118.06617,6.8026795,6.1400003,66.0,8
104.58866,86.43772,10.879147,8.03,87.0,8
76.56531,70.249405,13.895003,10.19,111.0,8
58.99046,63.878624,14.877938,12.08,132.0,8
47.33437,60.493855,14.829533,13.969999,153.0,8
38.760216,57.98981,14.169837,16.13,177.0,8
33.715576,56.195152,13.421102,18.02,198.0,8
