dxdt,dydt,t,Run
-0.63237965,-2.322259,0.0,0
-0.4040407,-2.056636,0.05,0
-0.20301688,-1.8167492,0.1,0
-0.020194264,-1.6044723,0.15,0
0.14991812,-1.4188719,0.2,0
0.31063515,-1.2575601,0.25,0
0.46404624,-1.1175574,0.3,0
0.6115931,-0.9958012,0.35,0
0.7544284,-0.88941646,0.4,0
0.89359987,-0.79583704,0.45,0
1.030151,-0.7128475,0.5,0
1.1651692,-0.63857436,0.55,0
1.2998084,-0.5714619,0.6000000000000001,0
1.435286,-0.51023316,0.65,0
1.5728877,-0.4538562,0.7000000000000001,0
1.7139665,-0.40150896,0.75,0
1.8599336,-0.3525505,0.8,0
2.012259,-0.30649263,0.8500000000000001,0
2.1724677,-0.26297992,0.9,0
2.3421257,-0.2217656,0.95,0
2.5228367,-0.1826957,1.0,0
2.716211,-0.14568733,1.05,0
2.9238393,-0.11070915,1.1,0
3.1472297,-0.077752344,1.15,0
3.3877456,-0.046805736,1.2000000000000002,0
3.6464794,-0.017815018,1.25,0
3.9241073,0.009367604,1.3,0
4.2206783,0.03504424,1.35,0
4.5353317,0.05975342,1.4,0
4.8659415,0.08436716,1.4500000000000002,0
5.208665,0.11021797,1.5,0
5.557399,0.1392415,1.55,0
5.90315,0.17414461,1.6,0
6.233351,0.21858732,1.65,0
6.5311904,0.27735284,1.7000000000000002,0
6.7750263,0.35649154,1.75,0
6.938059,0.46337834,1.8,0
6.988396,0.6066269,1.85,0
6.889737,0.79576486,1.9,0
6.6027327,1.0405786,1.95,0
6.0869904,1.3500558,2.0,0
5.303133,1.7309537,2.0500000000000003,0
4.213475,2.18621,2.1,0
2.7788658,2.7136414,2.15,0
0.949151,3.3053017,2.2,0
-1.3485923,3.9459705,2.25,0
-4.1937532,4.602783,2.3000000000000003,0
-7.5474496,5.1862173,2.35,0
-10.988415,5.476114,2.4000000000000004,0
-13.674028,5.127125,2.45,0
-14.964188,3.973687,2.5,0
-14.956144,2.3745039,2.5500000000000003,0
-14.108362,0.86352456,2.6,0
-12.734316,-0.36745322,2.6500000000000004,0
-11.005239,-1.3683058,2.7,0
-9.096753,-2.1909041,2.75,0
-7.214515,-2.831222,2.8000000000000003,0
-5.5353565,-3.2650788,2.85,0
-4.1552906,-3.4858768,2.9000000000000004,0
-3.0864418,-3.5159483,2.95,0
-2.287468,-3.3980372,3.0,0
-1.6971803,-3.1813161,3.0500000000000003,0
-1.2562801,-2.9105546,3.1,0
-0.91681355,-2.620597,3.1500000000000004,0
-0.6439132,-2.335206,3.2,0
-0.41399384,-2.0684962,3.25,0
-0.21193476,-1.8273373,3.3000000000000003,0
-0.028407952,-1.6137758,3.35,0
0.14221072,-1.4269753,3.4000000000000004,0
0.30331442,-1.2645934,3.45,0
0.45702964,-1.123665,3.5,0
0.6048213,-1.0011234,3.5500000000000003,0
0.7478535,-0.8940806,3.6,0
0.88717145,-0.7999556,3.65,0
1.0238205,-0.7165156,3.7,0
1.1588867,-0.6418737,3.75,0
1.2935159,-0.5744572,3.8,0
1.4289248,-0.51297903,3.85,0
1.5663961,-0.45639512,3.9,0
1.7072812,-0.4038758,3.95,0
1.8529868,-0.35477093,4.0,0
2.0049827,-0.3085862,4.05,0
2.1647863,-0.26496127,4.1000000000000005,0
2.3339684,-0.22364312,4.15,0
2.5141263,-0.18447608,4.2,0
2.7068734,-0.1473734,4.25,0
2.9137993,-0.11229934,4.3,0
3.136422,-0.07924814,4.3500000000000005,0
3.376111,-0.04820879,4.4,0
3.6339748,-0.019129533,4.45,0
3.9107134,0.008133093,4.5,0
4.2064104,0.03386996,4.55,0
4.5202565,0.058607828,4.6000000000000005,0
4.8501916,0.08319978,4.65,0
5.192467,0.10895454,4.7,0
5.5410976,0.13777566,4.75,0
5.887238,0.17233127,4.800000000000001,0
6.2185097,0.21623006,4.8500000000000005,0
6.5183063,0.274201,4.9,0
6.7652254,0.35223335,4.95,0
6.932709,0.45763952,5.0,0
