dBdt,dSdt,dPdt,dVdt,t,Run
-24.24281,324.67963,1.8137301,0.11000001,0.0,0
4.7579722,27.681215,-0.33028975,0.11000001,3.0,0
5.5158763,0.4427752,-0.2954415,0.11000001,6.0,0
5.383152,-6.727508,-0.23869026,0.11000001,9.0,0
4.9291215,-8.67374,-0.16405088,0.11000001,12.0,0
4.34787,-8.648986,-0.076933384,0.11000001,15.0,0
3.7815838,-7.935409,0.007845754,0.11000001,18.0,0
3.2952693,-7.110161,0.07870673,0.11000001,21.0,0
2.8946629,-6.391985,0.13146204,0.11000001,24.0,0
2.5599093,-5.8300815,0.16703649,0.11000001,27.0,0
2.2664402,-5.406048,0.1885825,0.11000001,30.0,0
1.9939308,-5.082231,0.1996863,0.11000001,33.0,0
1.7289249,-4.822185,0.2035517,0.11000001,36.0,0
1.4645361,-4.5976644,0.20273532,0.11000001,39.0,0
1.199054,-4.389557,0.19914444,0.11000001,42.0,0
0.93426955,-4.186461,0.19414648,0.11000001,45.0,0
0.6739258,-3.9825015,0.18868311,0.11000001,48.0,0
0.42241633,-3.7753375,0.18338834,0.11000001,51.0,0
0.18387398,-3.5644336,0.17866437,0.11000001,54.0,0
-0.038360823,-3.3500464,0.17474064,0.11000001,57.0,0
-0.24204825,-3.1326156,0.17171097,0.11000001,60.0,0
-0.4260818,-2.9124186,0.16955908,0.11000001,63.0,0
-0.5903183,-2.68965,0.1681795,0.11000001,66.0,0
-0.73536676,-2.4645224,0.16739431,0.11000001,69.0,0
-0.8623108,-2.2375627,0.1669733,0.11000001,72.0,0
-0.9724566,-2.0096536,0.16666453,0.11000001,75.0,0
-1.0671024,-1.7822053,0.16620205,0.11000001,78.0,0
-1.1474409,-1.5572102,0.1653344,0.11000001,81.0,0
-1.2143915,-1.3370281,0.16383937,0.11000001,84.0,0
-1.2686503,-1.1244801,0.16153753,0.11000001,87.0,0
-1.3106635,-0.92245185,0.15829483,0.11000001,90.0,0
-1.3407393,-0.73379385,0.15402916,0.11000001,93.0,0
-1.3590657,-0.5611597,0.14870971,0.11000001,96.0,0
-1.3657974,-0.40673962,0.14234771,0.11000001,99.0,0
-1.361138,-0.2723509,0.13499297,0.11000001,102.0,0
-1.3454045,-0.15919931,0.12672885,0.11000001,105.0,0
-1.3190274,-0.06777953,0.11766382,0.11000001,108.0,0
-1.2825978,0.001837151,0.107916914,0.11000001,111.0,0
-1.2368608,0.050259914,0.09762183,0.11000001,114.0,0
-1.1826966,0.07851281,0.08691943,0.11000001,117.0,0
-1.1210994,0.08802846,0.07594451,0.11000001,120.0,0
-1.0531815,0.08058565,0.06483005,0.11000001,123.0,0
-0.98008734,0.058194056,0.053703938,0.11000001,126.0,0
-0.9030269,0.022999298,0.04268336,0.11000001,129.0,0
-0.82317847,-0.022812,0.031872008,0.11000001,132.0,0
-0.74172294,-0.07701257,0.021366786,0.11000001,135.0,0
-0.6597667,-0.13741615,0.011248216,0.11000001,138.0,0
-0.5783624,-0.20196101,0.0015880133,0.11000001,141.0,0
-0.49847883,-0.2687331,-0.007557151,0.11000001,144.0,0
-0.4209955,-0.3359319,-0.016138157,0.11000001,147.0,0
-0.34667674,-0.4019746,-0.02412213,0.11000001,150.0,0
-0.27619192,-0.4654409,-0.03148246,0.11000001,153.0,0
-0.21011047,-0.52511746,-0.038200386,0.11000001,156.0,0
-0.14889257,-0.57997465,-0.044270393,0.11000001,159.0,0
-0.09288421,-0.62915605,-0.049690697,0.11000001,162.0,0
-0.0423799,-0.67197907,-0.054466262,0.11000001,165.0,0
0.0024329976,-0.70793265,-0.058608394,0.11000001,168.0,0
0.04146217,-0.7366093,-0.06213244,0.11000001,171.0,0
0.07466017,-0.7577622,-0.0650579,0.11000001,174.0,0
0.102058835,-0.7713077,-0.06740849,0.11000001,177.0,0
0.12372748,-0.77719265,-0.06920836,0.11000001,180.0,0
0.13979435,-0.77548,-0.07048412,0.11000001,183.0,0
0.15040925,-0.76632357,-0.07126532,0.11000001,186.0,0
0.1557774,-0.7499091,-0.07158077,0.11000001,189.0,0
0.15611355,-0.7265387,-0.07146087,0.11000001,192.0,0
0.15165487,-0.69647545,-0.070933886,0.11000001,195.0,0
0.14264838,-0.6600396,-0.07002886,0.11000001,198.0,0
-24.24281,299.92963,1.8137301,0.11000001,0.0,1
4.327132,25.2781,-0.32295793,0.11000001,3.0,1
5.299855,-0.11446267,-0.3143696,0.11000001,6.0,1
5.3015313,-6.9434767,-0.27287742,0.11000001,9.0,1
4.967806,-8.955634,-0.21347933,0.11000001,12.0,1
4.465153,-9.064653,-0.13889277,0.11000001,15.0,1
3.9169664,-8.399269,-0.05965921,0.11000001,18.0,1
3.3972366,-7.5109243,0.013408581,0.11000001,21.0,1
2.9294145,-6.6447463,0.07446239,0.11000001,24.0,1
2.5087705,-5.882949,0.122247964,0.11000001,27.0,1
2.1217043,-5.2338057,0.15802902,0.11000001,30.0,1
1.7556974,-4.679123,0.18395446,0.11000001,33.0,1
1.4029114,-4.196225,0.20219274,0.11000001,36.0,1
1.060483,-3.7664676,0.2145737,0.11000001,39.0,1
0.72944105,-3.37714,0.22252662,0.11000001,42.0,1
0.41321588,-3.0207713,0.22712785,0.11000001,45.0,1
0.11622495,-2.6934361,0.22918575,0.11000001,48.0,1
-0.1572251,-2.3931136,0.22931868,0.11000001,51.0,1
-0.4037365,-2.1184213,0.22801015,0.11000001,54.0,1
-0.6211944,-1.867889,0.2256414,0.11000001,57.0,1
-0.8088838,-1.639462,0.22251001,0.11000001,60.0,1
-0.9673722,-1.4306741,0.21883868,0.11000001,63.0,1
-1.0982579,-1.2387725,0.21477464,0.11000001,66.0,1
-1.2038745,-1.0609372,0.21040033,0.11000001,69.0,1
-1.2869122,-0.8946826,0.2057383,0.11000001,72.0,1
-1.3501558,-0.7381187,0.20076329,0.11000001,75.0,1
-1.396282,-0.58993495,0.19542338,0.11000001,78.0,1
-1.427634,-0.4496029,0.18964867,0.11000001,81.0,1
-1.4461821,-0.31729257,0.18336834,0.11000001,84.0,1
-1.4535191,-0.19367665,0.17652448,0.11000001,87.0,1
-1.4508446,-0.079824634,0.16907325,0.11000001,90.0,1
-1.4390718,0.023026267,0.161001,0.11000001,93.0,1
-1.4188961,0.113614105,0.15231802,0.11000001,96.0,1
-1.3908652,0.19080696,0.1430564,0.11000001,99.0,1
-1.3554653,0.25376844,0.13327521,0.11000001,102.0,1
-1.3131888,0.3020364,0.12304783,0.11000001,105.0,1
-1.2645717,0.33548748,0.11246492,0.11000001,108.0,1
-1.210203,0.35444453,0.10162364,0.11000001,111.0,1
-1.1507797,0.3595533,0.090626016,0.11000001,114.0,1
-1.0870769,0.35187224,0.0795819,0.11000001,117.0,1
-1.0199018,0.33265364,0.06858853,0.11000001,120.0,1
-0.95015985,0.30342507,0.05774573,0.11000001,123.0,1
-0.87876683,0.2657877,0.047147796,0.11000001,126.0,1
-0.8066354,0.22150175,0.036875498,0.11000001,129.0,1
-0.7346676,0.17230836,0.027002327,0.11000001,132.0,1
-0.6637582,0.11990596,0.017594952,0.11000001,135.0,1
-0.59471434,0.066009246,0.0087074535,0.11000001,138.0,1
-0.5282922,0.012102735,0.00038408977,0.11000001,141.0,1
-0.4651715,-0.040350456,-0.0073402585,0.11000001,144.0,1
-0.40595037,-0.09005716,-0.014438841,0.11000001,147.0,1
-0.35113186,-0.13593385,-0.020895908,0.11000001,150.0,1
-0.30114833,-0.17697512,-0.026701653,0.11000001,153.0,1
-0.256327,-0.21240816,-0.031852722,0.11000001,156.0,1
-0.2169189,-0.24153678,-0.03635336,0.11000001,159.0,1
-0.18308948,-0.26393482,-0.040215954,0.11000001,162.0,1
-0.15495202,-0.27914757,-0.04345056,0.11000001,165.0,1
-0.13252874,-0.2869997,-0.046078958,0.11000001,168.0,1
-0.115792766,-0.28731334,-0.048122253,0.11000001,171.0,1
-0.10466311,-0.2801077,-0.04960526,0.11000001,174.0,1
-0.099021286,-0.26544598,-0.050552297,0.11000001,177.0,1
-0.098702356,-0.24345872,-0.050994385,0.11000001,180.0,1
