tB,tS,tP,tV,t,Run
4.0250945,4.1985006,1.1049918,0.2,0.0,0
5.493438,364.9916,0.4030385,0.53000003,3.0,0
13.315699,406.62888,0.22304446,0.86000013,6.0,0
21.76762,410.93546,0.16142917,1.1900002,9.0,0
30.690004,403.06482,0.17266533,1.5200001,12.0,0
40.03395,389.5035,0.2432536,1.8500003,15.0,0
49.720585,372.73212,0.366836,2.1800003,18.0,0
59.625412,353.98334,0.53907335,2.5100005,21.0,0
69.57915,334.023,0.75612384,2.8400006,24.0,0
79.37707,313.42227,1.0141642,3.1700003,27.0,0
88.795204,292.65775,1.309326,3.5,30.0,0
97.61109,272.14264,1.637816,3.83,33.0,0
105.62472,252.22969,1.9961,4.1600003,36.0,0
112.67573,233.20468,2.3810654,4.4900007,39.0,0
118.6536,215.2815,2.7901077,4.8200006,42.0,0
123.50005,198.60246,3.2211266,5.150001,45.0,0
127.20491,183.24483,3.6724372,5.4800014,48.0,0
129.79782,169.2313,4.142624,5.8100014,51.0,0
131.33829,156.54225,4.63037,6.140001,54.0,0
131.90596,145.1278,5.1342845,6.4700003,57.0,0
131.5924,134.91805,5.652738,6.8,60.0,0
130.49469,125.831276,6.1837482,7.1299996,63.0,0
128.71088,117.78003,6.7248745,7.46,66.0,0
126.3371,110.67519,7.2731814,7.7900004,69.0,0
123.46567,104.42877,7.825227,8.120001,72.0,0
120.18427,98.95553,8.377104,8.450001,75.0,0
116.57533,94.17393,8.924524,8.780002,78.0,0
112.71576,90.006744,9.462944,9.110002,81.0,0
108.67679,86.38144,9.987711,9.440002,84.0,0
104.523796,83.23037,10.494246,9.770002,87.0,0
100.316086,80.49097,10.978224,10.100002,90.0,0
96.106735,78.10602,11.435742,10.430003,93.0,0
91.94232,76.02368,11.863475,10.760003,96.0,0
87.86285,74.19761,12.258783,11.090004,99.0,0
83.90179,72.58694,12.619788,11.420005,102.0,0
80.086136,71.156075,12.945388,11.750006,105.0,0
76.43677,69.874565,13.2352495,12.080007,108.0,0
72.96877,68.716644,13.48975,12.410007,111.0,0
69.69206,67.660866,13.709881,12.740008,114.0,0
66.61194,66.6896,13.897158,13.070009,117.0,0
63.72972,65.78857,14.053505,13.40001,120.0,0
61.04346,64.946266,14.181142,13.730011,123.0,0
58.54853,64.15358,14.282476,14.060012,126.0,0
56.238228,63.403297,14.360016,14.390014,129.0,0
54.104347,62.68968,14.416286,14.720015,132.0,0
52.137585,62.008224,14.453764,15.050015,135.0,0
50.32798,61.355328,14.474831,15.380016,138.0,0
48.665222,60.728073,14.481734,15.710017,141.0,0
47.13894,60.124046,14.4765625,16.040018,144.0,0
45.738865,59.54124,14.46123,16.37002,147.0,0
44.45503,58.977917,14.437476,16.70002,150.0,0
43.277824,58.43256,14.406858,17.030022,153.0,0
42.198135,57.9038,14.37076,17.360022,156.0,0
41.207363,57.390408,14.330398,17.690023,159.0,0
40.297432,56.89126,14.286834,18.020023,162.0,0
39.460854,56.405304,14.240987,18.350025,165.0,0
38.690662,55.931587,14.193639,18.680025,168.0,0
37.98043,55.46926,14.145457,19.010027,171.0,0
37.32427,55.017525,14.097001,19.340027,174.0,0
36.716766,54.575672,14.048733,19.670029,177.0,0
36.15298,54.143074,14.001031,20.00003,180.0,0
35.6284,53.719173,13.954203,20.33003,183.0,0
35.13893,53.303486,13.908487,20.660032,186.0,0
34.680862,52.895596,13.864071,20.990032,189.0,0
34.250835,52.495167,13.821088,21.320034,192.0,0
33.845818,52.101917,13.779634,21.650034,195.0,0
33.46308,51.715626,13.73977,21.980034,198.0,0
8.652588,-3.979848,-0.19422667,0.2,0.0,1
5.9159355,332.9229,0.06785253,0.53000003,3.0,1
12.336892,372.54175,0.065518096,0.86000013,6.0,1
19.697353,377.4043,0.08491081,1.1900002,9.0,1
27.573795,370.95795,0.14377695,1.5200001,12.0,1
35.8544,359.24435,0.2452581,1.8500003,15.0,1
44.450882,344.5625,0.38954693,2.1800003,18.0,1
53.254097,328.0382,0.57567817,2.5100005,21.0,1
62.12521,310.35397,0.8019563,2.8400006,24.0,1
70.89841,292.0056,1.0661361,3.1700003,27.0,1
79.39051,273.40097,1.3655794,3.5,30.0,1
87.41489,254.89493,1.6974295,3.83,33.0,1
94.79703,236.79703,2.0587955,4.1600003,36.0,1
101.388535,219.36812,2.4469144,4.4900007,39.0,1
107.07727,202.81529,2.8592591,4.8200006,42.0,1
111.79215,187.28944,3.2935789,5.150001,45.0,1
115.50273,172.88722,3.747872,5.4800014,48.0,1
118.214874,159.65686,4.220302,5.8100014,51.0,1
119.964134,147.60612,4.7090816,6.140001,54.0,1
120.80822,136.71143,5.212347,6.4700003,57.0,1
120.82005,126.92629,5.7280307,6.8,60.0,1
120.08177,118.188736,6.2537694,7.1299996,63.0,1
118.68001,110.42727,6.786829,7.46,66.0,1
116.70243,103.565315,7.324073,7.7900004,69.0,1
114.23535,97.524506,7.8619742,8.120001,72.0,1
111.362114,92.22697,8.396662,8.450001,75.0,1
108.16195,87.59686,8.924009,8.780002,78.0,1
104.7093,83.561424,9.439758,9.110002,81.0,1
101.07328,80.0518,9.93966,9.440002,84.0,1
97.317245,77.00347,10.419629,9.770002,87.0,1
93.49848,74.35672,10.875905,10.100002,90.0,1
89.667984,72.05686,11.305191,10.430003,93.0,1
85.87029,70.054474,11.704761,10.760003,96.0,1
82.143456,68.30538,12.072553,11.090004,99.0,1
78.51912,66.7706,12.407202,11.420005,102.0,1
75.02274,65.416214,12.708045,11.750006,105.0,1
71.67394,64.213066,12.97509,12.080007,108.0,1
68.48701,63.136417,13.20895,12.410007,111.0,1
65.47136,62.165497,13.410768,12.740008,114.0,1
62.632214,61.28308,13.582109,13.070009,117.0,1
59.971195,60.474976,13.724876,13.40001,120.0,1
57.4869,59.72961,13.841203,13.730011,123.0,1
55.175518,59.037548,13.933363,14.060012,126.0,1
53.031376,58.391132,14.0037,14.390014,129.0,1
51.04739,57.784145,14.054552,14.720015,132.0,1
49.215496,57.211502,14.088198,15.050015,135.0,1
47.52698,56.66901,14.106821,15.380016,138.0,1
45.972813,56.15317,14.112481,15.710017,141.0,1
44.54383,55.661022,14.107082,16.040018,144.0,1
43.23095,55.19003,14.092379,16.37002,147.0,1
42.025307,54.737976,14.069958,16.70002,150.0,1
40.918358,54.302917,14.041243,17.030022,153.0,1
39.90193,53.883114,14.007502,17.360022,156.0,1
38.968292,53.477,13.9698515,17.690023,159.0,1
38.110172,53.08318,13.92927,18.020023,162.0,1
37.320763,52.700386,13.8866005,18.350025,165.0,1
36.59374,52.327477,13.842569,18.680025,168.0,1
35.923244,51.96343,13.797792,19.010027,171.0,1
35.303856,51.60735,13.75279,19.340027,174.0,1
34.73059,51.25844,13.707996,19.670029,177.0,1
34.198887,50.916004,13.663763,20.00003,180.0,1
33.704544,50.57945,13.6203785,20.33003,183.0,1
33.24376,50.24828,13.578071,20.660032,186.0,1
32.813034,49.92209,13.537013,20.990032,189.0,1
32.40921,49.600555,13.497338,21.320034,192.0,1
32.029427,49.283413,13.459134,21.650034,195.0,1
31.671093,48.97048,13.42246,21.980034,198.0,1
-3.1665065,-18.90248,0.4502721,0.2,0.0,2
2.4049594,356.55685,0.20745794,0.53000003,3.0,2
10.893246,405.71506,0.10058701,0.86000013,6.0,2
19.632406,411.07925,0.06452145,1.1900002,9.0,2
28.705168,404.71918,0.08722818,1.5200001,12.0,2
38.19042,393.35977,0.16189167,1.8500003,15.0,2
48.04259,376.89066,0.2858367,2.1800003,18.0,2
58.138332,359.14844,0.45694277,2.5100005,21.0,2
68.32821,339.2996,0.67192227,2.8400006,24.0,2
78.402534,319.17178,0.9276454,3.1700003,27.0,2
88.10082,296.68195,1.221299,3.5,30.0,2
97.13789,274.98755,1.5502518,3.83,33.0,2
105.319084,253.8289,1.9103051,4.1600003,36.0,2
112.508385,234.90092,2.2974603,4.4900007,39.0,2
