dTdt,dEBdt,dStydt,dH2dt,dBeEtdt,dToMedt,t,Run
-51.159924,-1.0318655,1.4541279,1.1339074,0.12812555,0.024025777,0.0,0
-45.17634,-0.97491217,1.2751192,1.0010666,0.10711079,0.030313455,0.12,0
-40.369064,-0.92048925,1.1298434,0.891886,0.09123439,0.035069738,0.24,0
-36.385017,-0.86911887,1.0084958,0.7998611,0.07879583,0.03874663,0.36,0
-33.007114,-0.8209284,0.9049932,0.720839,0.068778284,0.041636184,0.48,0
-30.093363,-0.77586097,0.81531394,0.6520152,0.060534928,0.043934148,0.6,0
-27.546177,-0.7337755,0.7366648,0.59140885,0.05363385,0.045776363,0.72,0
-25.295801,-0.6944958,0.6670277,0.5375696,0.04777519,0.047259804,0.84,0
-23.290688,-0.6578357,0.60489637,0.48940286,0.042743873,0.04845557,0.96,0
-21.491674,-0.6236103,0.5491159,0.44606173,0.038381465,0.049416907,1.08,0
-19.868309,-0.59164345,0.4987809,0.4068767,0.034568455,0.050184514,1.2,0
-18.39643,-0.5617691,0.4531666,0.3713085,0.031212945,0.05079007,1.3199999999999998,0
-17.056505,-0.5338331,0.41168362,0.33891582,0.028242927,0.051258538,1.44,0
-15.832531,-0.5076929,0.3738455,0.30933252,0.025601214,0.051609933,1.56,0
-14.711184,-0.48321706,0.33924523,0.2822508,0.023241652,0.051860478,1.68,0
-13.681263,-0.4602847,0.30753875,0.25740933,0.021126583,0.052023463,1.7999999999999998,0
-12.733247,-0.4387847,0.27843177,0.23458411,0.019224955,0.052109912,1.92,0
-11.858952,-0.4186146,0.25167078,0.2135812,0.017510843,0.05212902,2.04,0
-11.051305,-0.3996805,0.2270356,0.19423172,0.01596246,0.052088577,2.16,0
-10.304126,-0.38189548,0.20433284,0.17638727,0.014561302,0.051995203,2.28,0
-9.611995,-0.3651798,0.18339291,0.15991695,0.013291558,0.05185455,2.4,0
-8.97012,-0.34945965,0.16406506,0.14470443,0.012139608,0.05167151,2.52,0
-8.374252,-0.33466694,0.14621495,0.13064606,0.011093656,0.05145036,2.64,0
-7.820588,-0.3207389,0.12972265,0.117648736,0.010143379,0.05119478,2.76,0
-7.3057237,-0.3076171,0.114480056,0.105628744,0.00927977,0.050908066,2.88,0
-6.8265967,-0.29524788,0.10039026,0.09451051,0.008494892,0.050593063,3.0,0
-6.3804417,-0.28358108,0.087364614,0.08422552,0.0077816974,0.05025237,3.12,0
-5.9647436,-0.2725705,0.07532339,0.074711494,0.007133895,0.049888223,3.24,0
-5.5772276,-0.26217312,0.064193614,0.06591166,0.006545922,0.04950269,3.36,0
-5.2158103,-0.252349,0.0539088,0.057774037,0.0060127475,0.049097616,3.48,0
-4.878598,-0.2430609,0.044407897,0.05025125,0.005529882,0.048674658,3.6,0
-4.563852,-0.23427442,0.035635397,0.043299686,0.005093259,0.048235282,3.72,0
-4.269974,-0.2259575,0.027539855,0.03687929,0.0046991888,0.04778086,3.84,0
-3.9955018,-0.21807997,0.02007394,0.030953122,0.004344338,0.047312636,3.96,0
