,Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
0,vdp,10,4,5,0,1.00E-06,1,10,0.1,tanh,40,473,0.000159236,173.9707253,1.951196309,1.951196289,0.943334988,0.804546156,0.380396074,1.027157421,0.479904671,converge,1.569713135,1.415002482,0.756653206,0.391596687,3.984066158,3.11426531
1,vdp,10,4,5,0,1.00E-06,2,10,0.1,tanh,40,276,0.000283938,143.1537519,2.109954735,2.109954834,0.982220129,1.298091864,0.490415534,1.870573819,0.622833279,converge,1.517409363,1.473330193,1.363439929,0.534056213,5.319021342,3.866114058
2,vdp,10,4,5,0,1.00E-06,1,15,0.1,tanh,40,348,0.000347449,124.9309714,1.938550273,1.938550415,0.924993639,0.582772954,0.421712238,1.11021809,0.58111655,converge,1.532934418,1.387490458,1.225000744,0.557369641,4.296800304,3.846161414
3,vdp,10,4,5,0,1.00E-06,2,15,0.1,tanh,40,254,0.000278692,119.5045221,1.946559695,1.946559601,0.963439428,1.921043432,0.624726122,2.41479852,0.761758737,converge,1.546561432,1.445159142,1.761485086,0.649006506,8.223950047,4.693943909
4,vdp,10,4,5,0,1.00E-06,1,20,0.1,tanh,40,333,0.000490963,123.3040824,1.990227923,1.990227814,1.018456193,1.287549197,0.625345759,1.985963361,0.852099147,converge,1.550216217,1.527684289,1.861909948,0.792998333,8.655499524,5.300480745
5,vdp,10,4,5,0,1.00E-06,2,20,0.1,tanh,40,228,0.000475104,110.8030248,1.970196553,1.970196533,0.946315228,0.983874142,0.516185653,1.776302518,0.712651125,converge,1.506817017,1.419472842,1.570321584,0.632317305,5.420483373,4.62816261
6,vdp,10,7,5,0,1.00E-06,1,10,0.1,tanh,40,363,0.001432807,232.2357626,1.811943398,1.811943512,0.876908027,1.137146066,0.605015092,1.804581351,0.695963673,converge,1.370206909,1.31536204,2.069090522,0.719019713,6.620976863,5.32257127
7,vdp,10,7,5,0,1.00E-06,2,10,0.1,tanh,40,414,0.000401999,350.9434433,2.215055201,2.215055084,1.03095758,1.27175131,0.491453532,1.996618146,0.65618021,converge,1.53579422,1.54643637,1.510422677,0.568765695,5.611980572,4.081259275
8,vdp,10,7,5,0,1.00E-06,1,15,0.1,tanh,40,558,0.000760829,362.7688472,1.800226522,1.800226593,0.937297869,0.725627558,0.508962914,1.403809073,0.687334508,converge,1.467101135,1.405946803,1.489717806,0.638179192,6.267994327,4.957437532
9,vdp,10,7,5,0,1.00E-06,2,15,0.1,tanh,40,312,0.000438821,269.0379596,1.978590764,1.978590698,0.993826557,1.269036013,0.51834337,1.86546158,0.658948732,converge,1.494579315,1.490739836,1.470871116,0.566914734,5.626970603,4.07648277
10,vdp,10,7,5,0,1.00E-06,1,20,0.1,tanh,40,588,0.001658703,339.1154914,1.885546798,1.88554657,0.936454909,1.179664606,0.660497727,1.985028401,0.777323082,converge,1.379614258,1.404682364,2.353088979,0.801041162,8.157795298,5.891507938
11,vdp,10,7,5,0,1.00E-06,2,20,0.1,tanh,40,377,0.000563788,324.1056252,1.890668117,1.89066803,0.961229954,1.128929892,0.493087763,1.781814783,0.658875269,converge,1.498038788,1.441844931,1.534734007,0.590448225,4.777457588,4.023066369
