DDmod,noise,Runs,Dps/Run,lambda,AICc,BIC,CV,False Pos,False Neg,N_init,status
spline,0,1,3,0.05,,3.92576799,1.779230803,0,2,0,converge
spline,0,1,3,0.1,29.47933433,24.57794662,2506.004111,1,4,0,converge
spline,0,1,3,0.2,6.986524467,6.986524467,10.26604132,0,4,0,converge
spline,0,1,3,0.3,6.986524467,6.986524467,10.26604132,0,4,0,converge
spline,0,1,3,0.4,6.986524467,6.986524467,10.26604132,0,4,0,converge
spline,0,1,3,0.5,6.986524467,6.986524467,10.26604132,0,4,0,converge
spline,0,1,3,0.6,6.986524467,6.986524467,10.26604132,0,4,0,converge
spline,0,1,3,0.7,6.986524467,6.986524467,10.26604132,0,4,0,converge
spline,0,1,3,0.8,6.986524467,6.986524467,10.26604132,0,4,0,converge
spline,0,1,3,0.9,6.986524467,6.986524467,10.26604132,0,4,0,converge
spline,0,1,3,1,6.986524467,6.986524467,10.26604132,0,4,0,converge
spline,0,1,5,0.05,,,,23,0,0,exp diverge
spline,0,1,5,0.1,,,,17,0,0,exp diverge
spline,0,1,5,0.2,,,,14,2,0,exp diverge
spline,0,1,5,0.3,39.93679455,14.76510829,7.296238268,2,3,0,converge
spline,0,1,5,0.4,31.70152547,29.97763005,291.0917263,0,3,0,converge
spline,0,1,5,0.5,31.70152547,29.97763005,291.0917263,0,3,0,converge
spline,0,1,5,0.6,31.70152547,29.97763005,291.0917263,0,3,0,converge
spline,0,1,5,0.7,31.70152547,29.97763005,291.0917263,0,3,0,converge
spline,0,1,5,0.8,31.70152547,29.97763005,291.0917263,0,3,0,converge
spline,0,1,5,0.9,31.70152547,29.97763005,291.0917263,0,3,0,converge
spline,0,1,5,1,11.52990259,11.52990259,10.03401196,0,4,0,converge
spline,0,1,10,0.05,,,,21,0,0,exp diverge
spline,0,1,10,0.1,,21.08169209,1.036492716,5,0,0,converge
spline,0,1,10,0.2,29.87110069,23.08144106,4.003264161,1,1,0,converge
spline,0,1,10,0.3,29.87110069,23.08144106,4.003264161,1,1,0,converge
spline,0,1,10,0.4,29.87110069,23.08144106,4.003264161,1,1,0,converge
spline,0,1,10,0.5,10.74577461,7.653529889,1.077428799,0,1,0,converge
spline,0,1,10,0.6,10.74577461,7.653529889,1.077428799,0,1,0,converge
spline,0,1,10,0.7,16.26898566,15.15987013,2.873325284,0,2,0,converge
spline,0,1,10,0.8,16.26898566,15.15987013,2.873325284,0,2,0,converge
spline,0,1,10,0.9,25.38002988,25.38002988,12.65437478,0,4,0,converge
spline,0,1,10,1,25.38002988,25.38002988,12.65437478,0,4,0,converge
spline,0,3,3,0.05,-42.94799657,37.41869836,3.414395217,8,0,0,converge
spline,0,3,3,0.1,25.19862156,20.99029529,4.952273874,0,1,0,converge
spline,0,3,3,0.2,35.09305186,34.71884787,37.09616886,0,3,0,converge
spline,0,3,3,0.3,35.09305186,34.71884787,37.09616886,0,3,0,converge
spline,0,3,3,0.4,20.67675772,20.67675772,9.948457605,0,4,0,converge
spline,0,3,3,0.5,20.67675772,20.67675772,9.948457605,0,4,0,converge
spline,0,3,3,0.6,20.67675772,20.67675772,9.948457605,0,4,0,converge
spline,0,3,3,0.7,20.67675772,20.67675772,9.948457605,0,4,0,converge
spline,0,3,3,0.8,20.67675772,20.67675772,9.948457605,0,4,0,converge
spline,0,3,3,0.9,20.67675772,20.67675772,9.948457605,0,4,0,converge
spline,0,3,3,1,20.67675772,20.67675772,9.948457605,0,4,0,converge
spline,0,3,5,0.05,129.1066212,48.89517342,3.574319282,8,1,0,converge
spline,0,3,5,0.1,60.07267429,49.0290257,7.424942591,4,1,0,converge
spline,0,3,5,0.2,41.05042906,41.46652946,11.06029797,0,2,0,converge
spline,0,3,5,0.3,41.05042906,41.46652946,11.06029797,0,2,0,converge
spline,0,3,5,0.4,41.05042906,41.46652946,11.06029797,0,2,0,converge
spline,0,3,5,0.5,76.45260554,76.85296344,140.189379,0,3,0,converge
spline,0,3,5,0.6,76.45260554,76.85296344,140.189379,0,3,0,converge
spline,0,3,5,0.7,76.45260554,76.85296344,140.189379,0,3,0,converge
spline,0,3,5,0.8,33.70941798,33.70941798,9.462101761,0,4,0,converge
spline,0,3,5,0.9,33.70941798,33.70941798,9.462101761,0,4,0,converge
spline,0,3,5,1,33.70941798,33.70941798,9.462101761,0,4,0,converge
spline,0,3,10,0.05,81.36749192,68.09973836,1.767193311,11,0,0,converge
spline,0,3,10,0.1,127.4261729,119.0429363,10.8143335,10,0,0,converge
spline,0,3,10,0.2,10.37442313,14.37921266,1.026150174,0,0,0,converge
spline,0,3,10,0.3,,,,1,2,0,converge
spline,0,3,10,0.4,64.18929475,66.54724507,7.32647874,0,2,0,converge
spline,0,3,10,0.5,64.18929475,66.54724507,7.32647874,0,2,0,converge
spline,0,3,10,0.6,64.18929475,66.54724507,7.32647874,0,2,0,converge
spline,0,3,10,0.7,148.9921851,150.2505253,133.6170133,0,3,0,converge
spline,0,3,10,0.8,72.8431615,72.8431615,11.33738173,0,4,0,converge
spline,0,3,10,0.9,72.8431615,72.8431615,11.33738173,0,4,0,converge
spline,0,3,10,1,72.8431615,72.8431615,11.33738173,0,4,0,converge
spline,0,5,3,0.05,47.11769375,40.86599495,5.161254051,3,1,0,converge
spline,0,5,3,0.1,41.37405333,41.79015373,11.30151614,0,2,0,converge
spline,0,5,3,0.2,49.51939106,49.91974896,23.2765539,0,3,0,converge
spline,0,5,3,0.3,36.52459169,36.52459169,11.41550797,0,4,0,converge
spline,0,5,3,0.4,36.52459169,36.52459169,11.41550797,0,4,0,converge
spline,0,5,3,0.5,36.52459169,36.52459169,11.41550797,0,4,0,converge
spline,0,5,3,0.6,36.52459169,36.52459169,11.41550797,0,4,0,converge
spline,0,5,3,0.7,36.52459169,36.52459169,11.41550797,0,4,0,converge
spline,0,5,3,0.8,36.52459169,36.52459169,11.41550797,0,4,0,converge
spline,0,5,3,0.9,36.52459169,36.52459169,11.41550797,0,4,0,converge
spline,0,5,3,1,36.52459169,36.52459169,11.41550797,0,4,0,converge
spline,0,5,5,0.05,72.38498476,68.85945729,4.335461059,7,1,0,converge
spline,0,5,5,0.1,68.07128187,71.00776626,8.99380031,3,2,0,converge
spline,0,5,5,0.2,60.04596988,61.93826699,9.207520663,0,2,0,converge
spline,0,5,5,0.3,60.04596988,61.93826699,9.207520663,0,2,0,converge
spline,0,5,5,0.4,60.04596988,61.93826699,9.207520663,0,2,0,converge
spline,0,5,5,0.5,60.04596988,61.93826699,9.207520663,0,2,0,converge
spline,0,5,5,0.6,59.07221609,59.07221609,10.62158917,0,4,0,converge
spline,0,5,5,0.7,59.07221609,59.07221609,10.62158917,0,4,0,converge
spline,0,5,5,0.8,59.07221609,59.07221609,10.62158917,0,4,0,converge
spline,0,5,5,0.9,59.07221609,59.07221609,10.62158917,0,4,0,converge
spline,0,5,5,1,59.07221609,59.07221609,10.62158917,0,4,0,converge
spline,0,5,10,0.05,115.593581,130.338769,4.902029966,9,0,0,converge
spline,0,5,10,0.1,64.95977959,75.67727397,2.627051878,3,0,0,converge
spline,0,5,10,0.2,55.00771091,61.76691404,2.51526066,0,0,0,converge
spline,0,5,10,0.3,98.21416581,101.7828927,6.54811311,0,2,0,converge
spline,0,5,10,0.4,98.21416581,101.7828927,6.54811311,0,2,0,converge
spline,0,5,10,0.5,98.21416581,101.7828927,6.54811311,0,2,0,converge
spline,0,5,10,0.6,98.21416581,101.7828927,6.54811311,0,2,0,converge
spline,0,5,10,0.7,239.7665805,241.5952702,116.0086716,0,3,0,converge
spline,0,5,10,0.8,239.7665805,241.5952702,116.0086716,0,3,0,converge
spline,0,5,10,0.9,118.3119162,118.3119162,10.65722775,0,4,0,converge
spline,0,5,10,1,118.3119162,118.3119162,10.65722775,0,4,0,converge
spline,0,10,3,0.05,,,,2,2,0,converge
spline,0,10,3,0.1,66.5762638,68.93421412,7.933233004,0,2,0,converge
spline,0,10,3,0.2,63.6183355,63.6183355,8.336230895,0,4,0,converge
spline,0,10,3,0.3,63.6183355,63.6183355,8.336230895,0,4,0,converge
spline,0,10,3,0.4,63.6183355,63.6183355,8.336230895,0,4,0,converge
spline,0,10,3,0.5,63.6183355,63.6183355,8.336230895,0,4,0,converge
spline,0,10,3,0.6,63.6183355,63.6183355,8.336230895,0,4,0,converge
spline,0,10,3,0.7,63.6183355,63.6183355,8.336230895,0,4,0,converge
spline,0,10,3,0.8,63.6183355,63.6183355,8.336230895,0,4,0,converge
spline,0,10,3,0.9,63.6183355,63.6183355,8.336230895,0,4,0,converge
spline,0,10,3,1,63.6183355,63.6183355,8.336230895,0,4,0,converge
spline,0,10,5,0.05,,,,6,1,0,converge
spline,0,10,5,0.1,,,,1,2,0,converge
spline,0,10,5,0.2,103.5451592,107.113886,7.284849644,0,2,0,converge
spline,0,10,5,0.3,103.5451592,107.113886,7.284849644,0,2,0,converge
spline,0,10,5,0.4,103.5451592,107.113886,7.284849644,0,2,0,converge
spline,0,10,5,0.5,189.689777,191.5184667,42.61170045,0,3,0,converge
spline,0,10,5,0.6,189.689777,191.5184667,42.61170045,0,3,0,converge
spline,0,10,5,0.7,105.568017,105.568017,8.259469332,0,4,0,converge
spline,0,10,5,0.8,105.568017,105.568017,8.259469332,0,4,0,converge
spline,0,10,5,0.9,105.568017,105.568017,8.259469332,0,4,0,converge
spline,0,10,5,1,105.568017,105.568017,8.259469332,0,4,0,converge
spline,0,10,10,0.05,155.7413134,179.3211052,3.791243376,7,1,0,converge
spline,0,10,10,0.1,,,,1,1,0,converge
spline,0,10,10,0.2,100.5137479,108.0792584,2.566742226,0,1,0,converge
spline,0,10,10,0.3,176.8047244,181.8913535,5.622689627,0,2,0,converge
spline,0,10,10,0.4,176.8047244,181.8913535,5.622689627,0,2,0,converge
spline,0,10,10,0.5,176.8047244,181.8913535,5.622689627,0,2,0,converge
spline,0,10,10,0.6,176.8047244,181.8913535,5.622689627,0,2,0,converge
spline,0,10,10,0.7,433.7814845,436.3458384,74.99389286,0,3,0,converge
spline,0,10,10,0.8,433.7814845,436.3458384,74.99389286,0,3,0,converge
spline,0,10,10,0.9,208.970597,208.970597,8.082538307,0,4,0,converge
spline,0,10,10,1,208.970597,208.970597,8.082538307,0,4,0,converge
spline,5,1,3,0.05,,4.527573272,2.174465524,1,3,0,converge
spline,5,1,3,0.1,8.600454663,8.600454663,17.58099028,0,4,0,converge
spline,5,1,3,0.2,8.600454663,8.600454663,17.58099028,0,4,0,converge
spline,5,1,3,0.3,8.600454663,8.600454663,17.58099028,0,4,0,converge
spline,5,1,3,0.4,8.600454663,8.600454663,17.58099028,0,4,0,converge
spline,5,1,3,0.5,8.600454663,8.600454663,17.58099028,0,4,0,converge
spline,5,1,3,0.6,8.600454663,8.600454663,17.58099028,0,4,0,converge
spline,5,1,3,0.7,8.600454663,8.600454663,17.58099028,0,4,0,converge
spline,5,1,3,0.8,8.600454663,8.600454663,17.58099028,0,4,0,converge
spline,5,1,3,0.9,8.600454663,8.600454663,17.58099028,0,4,0,converge
spline,5,1,3,1,8.600454663,8.600454663,17.58099028,0,4,0,converge
spline,5,1,5,0.05,,,,15,1,0,exp diverge
spline,5,1,5,0.1,,,,7,1,0,exp diverge
spline,5,1,5,0.2,-46.5758241,11.47136546,1.983444897,2,1,0,converge
spline,5,1,5,0.3,,14.61806921,5.134916142,1,1,0,converge
spline,5,1,5,0.4,45.50044299,20.32875672,22.19991805,1,2,0,converge
spline,5,1,5,0.5,24.3191559,17.53803173,17.52855351,0,2,0,converge
spline,5,1,5,0.6,35.08658317,33.36268775,572.8649313,0,3,0,converge
spline,5,1,5,0.7,35.08658317,33.36268775,572.8649313,0,3,0,converge
spline,5,1,5,0.8,35.08658317,33.36268775,572.8649313,0,3,0,converge
spline,5,1,5,0.9,35.08658317,33.36268775,572.8649313,0,3,0,converge
spline,5,1,5,1,35.08658317,33.36268775,572.8649313,0,3,0,converge
spline,5,1,10,0.05,-42.9136978,41.62507859,2.031207044,11,0,0,converge
spline,5,1,10,0.1,-48.77975845,39.45643286,2.058595914,10,0,0,converge
spline,5,1,10,0.2,76.67760598,22.79570163,1.949865893,3,0,0,converge
spline,5,1,10,0.3,18.67944303,11.8897834,1.307274326,1,1,0,converge
spline,5,1,10,0.4,31.41652224,30.30740671,13.06874697,0,2,0,converge
spline,5,1,10,0.5,31.41652224,30.30740671,13.06874697,0,2,0,converge
spline,5,1,10,0.6,31.41652224,30.30740671,13.06874697,0,2,0,converge
spline,5,1,10,0.7,31.41652224,30.30740671,13.06874697,0,2,0,converge
spline,5,1,10,0.8,61.03573016,60.83831525,348.4772735,0,3,0,converge
spline,5,1,10,0.9,29.77624164,29.77624164,19.64109715,0,4,0,converge
spline,5,1,10,1,29.77624164,29.77624164,19.64109715,0,4,0,converge
spline,5,3,3,0.05,,,,3,2,0,converge
spline,5,3,3,0.1,24.12797204,22.52242119,7.494872462,0,2,0,converge
spline,5,3,3,0.2,33.4349177,33.0607137,30.85431372,0,3,0,converge
spline,5,3,3,0.3,33.4349177,33.0607137,30.85431372,0,3,0,converge
spline,5,3,3,0.4,22.3090424,22.3090424,11.92673464,0,4,0,converge
spline,5,3,3,0.5,22.3090424,22.3090424,11.92673464,0,4,0,converge
spline,5,3,3,0.6,22.3090424,22.3090424,11.92673464,0,4,0,converge
spline,5,3,3,0.7,22.3090424,22.3090424,11.92673464,0,4,0,converge
spline,5,3,3,0.8,22.3090424,22.3090424,11.92673464,0,4,0,converge
spline,5,3,3,0.9,22.3090424,22.3090424,11.92673464,0,4,0,converge
spline,5,3,3,1,22.3090424,22.3090424,11.92673464,0,4,0,converge
spline,5,3,5,0.05,,,,14,1,0,converge
spline,5,3,5,0.1,,,,7,1,0,converge
spline,5,3,5,0.2,,,,1,2,0,converge
spline,5,3,5,0.3,41.59009633,42.00619673,11.46546823,0,2,0,converge
spline,5,3,5,0.4,41.59009633,42.00619673,11.46546823,0,2,0,converge
spline,5,3,5,0.5,78.59889526,78.99925315,161.7545717,0,3,0,converge
spline,5,3,5,0.6,78.59889526,78.99925315,161.7545717,0,3,0,converge
spline,5,3,5,0.7,78.59889526,78.99925315,161.7545717,0,3,0,converge
spline,5,3,5,0.8,36.88483172,36.88483172,11.6929814,0,4,0,converge
spline,5,3,5,0.9,36.88483172,36.88483172,11.6929814,0,4,0,converge
spline,5,3,5,1,36.88483172,36.88483172,11.6929814,0,4,0,converge
spline,5,3,10,0.05,79.9662013,75.43176726,2.830745327,10,1,0,converge
spline,5,3,10,0.1,69.72392098,74.22990789,6.735984882,3,2,0,converge
spline,5,3,10,0.2,68.69919836,71.97971358,7.839727279,1,2,0,converge
spline,5,3,10,0.3,75.70952193,78.06747225,10.75641782,0,2,0,converge
spline,5,3,10,0.4,75.70952193,78.06747225,10.75641782,0,2,0,converge
spline,5,3,10,0.5,75.70952193,78.06747225,10.75641782,0,2,0,converge
spline,5,3,10,0.6,149.3238745,150.5822148,135.1025221,0,3,0,converge
spline,5,3,10,0.7,149.3238745,150.5822148,135.1025221,0,3,0,converge
spline,5,3,10,0.8,76.16663828,76.16663828,12.66557829,0,4,0,converge
spline,5,3,10,0.9,76.16663828,76.16663828,12.66557829,0,4,0,converge
spline,5,3,10,1,76.16663828,76.16663828,12.66557829,0,4,0,converge
spline,5,5,3,0.05,43.10724425,43.04957667,10.26111735,0,1,0,converge
spline,5,5,3,0.1,44.3693315,44.7854319,13.79935842,0,2,0,converge
spline,5,5,3,0.2,51.81235181,52.2127097,27.12106232,0,3,0,converge
spline,5,5,3,0.3,39.65553395,39.65553395,14.06518034,0,4,0,converge
spline,5,5,3,0.4,39.65553395,39.65553395,14.06518034,0,4,0,converge
spline,5,5,3,0.5,39.65553395,39.65553395,14.06518034,0,4,0,converge
spline,5,5,3,0.6,39.65553395,39.65553395,14.06518034,0,4,0,converge
spline,5,5,3,0.7,39.65553395,39.65553395,14.06518034,0,4,0,converge
spline,5,5,3,0.8,39.65553395,39.65553395,14.06518034,0,4,0,converge
spline,5,5,3,0.9,39.65553395,39.65553395,14.06518034,0,4,0,converge
spline,5,5,3,1,39.65553395,39.65553395,14.06518034,0,4,0,converge
spline,5,5,5,0.05,,,,10,0,0,SINDY diverge
spline,5,5,5,0.1,,,,1,2,0,converge
spline,5,5,5,0.2,62.24983177,64.14212887,10.05605649,0,2,0,converge
spline,5,5,5,0.3,62.24983177,64.14212887,10.05605649,0,2,0,converge
spline,5,5,5,0.4,62.24983177,64.14212887,10.05605649,0,2,0,converge
spline,5,5,5,0.5,104.5933341,105.6382969,60.14611442,0,3,0,converge
spline,5,5,5,0.6,63.17895842,63.17895842,12.51788394,0,4,0,converge
spline,5,5,5,0.7,63.17895842,63.17895842,12.51788394,0,4,0,converge
spline,5,5,5,0.8,63.17895842,63.17895842,12.51788394,0,4,0,converge
spline,5,5,5,0.9,63.17895842,63.17895842,12.51788394,0,4,0,converge
spline,5,5,5,1,63.17895842,63.17895842,12.51788394,0,4,0,converge
spline,5,5,10,0.05,93.10122895,107.1861136,3.60772439,7,0,0,converge
spline,5,5,10,0.1,113.6270985,123.1457481,7.340978924,4,2,0,converge
spline,5,5,10,0.2,116.6938116,120.2625385,9.476071671,0,2,0,converge
spline,5,5,10,0.3,116.6938116,120.2625385,9.476071671,0,2,0,converge
spline,5,5,10,0.4,116.6938116,120.2625385,9.476071671,0,2,0,converge
spline,5,5,10,0.5,116.6938116,120.2625385,9.476071671,0,2,0,converge
spline,5,5,10,0.6,227.0163318,228.8450215,89.89658642,0,3,0,converge
spline,5,5,10,0.7,118.9813347,118.9813347,10.80087009,0,4,0,converge
spline,5,5,10,0.8,118.9813347,118.9813347,10.80087009,0,4,0,converge
spline,5,5,10,0.9,118.9813347,118.9813347,10.80087009,0,4,0,converge
spline,5,5,10,1,118.9813347,118.9813347,10.80087009,0,4,0,converge
spline,5,10,3,0.05,72.68229366,76.68708319,8.188601466,2,2,0,converge
spline,5,10,3,0.1,78.5106201,79.76896034,12.75077557,0,3,0,converge
spline,5,10,3,0.2,68.8098365,68.8098365,9.911158232,0,4,0,converge
spline,5,10,3,0.3,68.8098365,68.8098365,9.911158232,0,4,0,converge
spline,5,10,3,0.4,68.8098365,68.8098365,9.911158232,0,4,0,converge
spline,5,10,3,0.5,68.8098365,68.8098365,9.911158232,0,4,0,converge
spline,5,10,3,0.6,68.8098365,68.8098365,9.911158232,0,4,0,converge
spline,5,10,3,0.7,68.8098365,68.8098365,9.911158232,0,4,0,converge
spline,5,10,3,0.8,68.8098365,68.8098365,9.911158232,0,4,0,converge
spline,5,10,3,0.9,68.8098365,68.8098365,9.911158232,0,4,0,converge
spline,5,10,3,1,68.8098365,68.8098365,9.911158232,0,4,0,converge
