,Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
0,fhn,10,4,5,0,1.00E-06,1,10,0.1,tanh,30,167,5.21E-05,51.40089655,0.00698062,0.00698062,0.045211874,0.85602666,0.294956638,0.876449549,0.252908949,converge,1.041502609,0.067817811,1.1940642,0.281446499,3.594649883,2.197752093
1,fhn,10,4,5,0,1.00E-06,2,10,0.1,tanh,30,169,1.93E-05,62.57134104,0.003588294,0.003588295,0.031676248,0.579904738,0.227990075,0.592847861,0.204642168,converge,1.048267212,0.047514373,0.851446109,0.237591262,2.172036477,1.554303017
2,fhn,10,4,5,0,1.00E-06,1,15,0.1,tanh,30,125,3.93E-05,36.13246942,0.006465602,0.006465603,0.04151187,0.794295564,0.279544742,0.776775437,0.237397458,converge,1.045236282,0.062267805,1.050448478,0.267549915,3.450778199,2.120365562
3,fhn,10,4,5,0,1.00E-06,2,15,0.1,tanh,30,136,1.91E-05,58.1639173,0.003490417,0.003490417,0.030853576,0.568194876,0.2154644,0.581935244,0.199280541,converge,1.046751175,0.046280364,0.831016427,0.230743278,2.037526697,1.400185625
4,fhn,10,4,5,0,1.00E-06,1,20,0.1,tanh,30,161,3.67E-05,56.20784974,0.002786814,0.002786815,0.032839447,0.625014773,0.246840869,0.652526013,0.224528406,converge,1.040270844,0.04925917,0.913912972,0.254644287,2.414033145,1.683160375
5,fhn,10,4,5,0,1.00E-06,2,20,0.1,tanh,30,112,4.00E-05,44.70818543,0.010084926,0.010084927,0.048666639,0.863585932,0.286000394,0.842886771,0.245815836,converge,1.047768402,0.072999958,1.169195273,0.279653976,3.518745998,2.111665075
6,fhn,10,7,5,0,1.00E-06,1,10,0.1,tanh,30,235,5.09E-05,118.0102792,0.011495464,0.011495465,0.043289563,0.635117569,0.274342052,0.666475601,0.237142886,converge,1.047591324,0.064934344,0.908229511,0.266325913,2.607590266,1.918284141
7,fhn,10,7,5,0,1.00E-06,2,10,0.1,tanh,30,175,2.55E-05,117.2011926,0.004028255,0.004028255,0.031844432,0.615530938,0.251397933,0.634638804,0.226077285,converge,1.050083847,0.047766648,0.922930275,0.262090858,2.292463867,1.562718013
8,fhn,10,7,5,0,1.00E-06,1,15,0.1,tanh,30,194,3.99E-05,99.88550997,0.00337014,0.003370141,0.032716086,0.699403776,0.266304857,0.64728695,0.217879944,converge,1.051816483,0.049074129,0.849866755,0.248156734,3.304875027,2.125385909
9,fhn,10,7,5,0,1.00E-06,2,15,0.1,tanh,30,220,2.45E-05,147.9221997,0.003212141,0.003212141,0.030259418,0.546646135,0.22237558,0.557051213,0.197067731,converge,1.048058319,0.045389127,0.785567924,0.232107392,2.080993093,1.61527017
