,Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
0,sir,10,4,5,0,1.00E-06,1,10,0.1,tanh,25,165,0.000112709,44.46591353,1.619121808,1.619121704,0.366307456,62.30082061,1.905040382,0.001742661,0.022723342,converge,0.048586976,0.488409941,0.000352277,0.013159434,0.008595535,0.404332688
1,sir,10,4,5,0,1.00E-06,2,10,0.1,tanh,25,126,0.000127763,40.37291026,0.041815406,0.041815402,0.078497396,0.077734408,0.087496456,0.002122413,0.022377657,converge,0.048609082,0.104663195,0.000243568,0.010102747,0.01595345,0.527982079
2,sir,10,4,5,0,1.00E-06,1,15,0.1,tanh,25,172,0.000137963,43.20350385,0.055477294,0.055477295,0.088409647,0.027506918,0.04964584,0.001559277,0.01922163,converge,0.048113817,0.117879529,0.000282681,0.009357,0.018771577,0.541010458
3,sir,10,4,5,0,1.00E-06,2,15,0.1,tanh,25,121,0.000169561,39.49123859,0.314427649,0.314427668,0.204888568,2.025773157,0.483795836,0.00380055,0.0283814,converge,0.047976052,0.273184757,0.000389256,0.011712603,0.016444736,0.529006207
4,sir,10,4,5,0,1.00E-06,1,20,0.1,tanh,25,150,0.000231057,46.97789836,0.139084838,0.139084841,0.13200949,0.280228859,0.165980563,0.000670705,0.015163626,converge,0.048371172,0.176012653,0.000193717,0.009567431,0.021541026,0.656820344
5,sir,10,4,5,0,1.00E-06,2,20,0.1,tanh,25,213,8.77E-05,77.56422687,1.189429605,1.189429626,0.38268972,134.766004,3.087784605,0.001977665,0.022139351,converge,0.048196634,0.51025296,0.000305819,0.011177257,0.012476678,0.475393292
6,sir,10,7,5,0,1.00E-06,1,10,0.1,tanh,25,204,0.000156606,87.50682878,1.041218992,1.041219076,0.300947724,137.8127476,2.602148907,0.001260147,0.019259174,converge,0.048029267,0.401263632,0.000490622,0.011956102,0.01282026,0.463153169
7,sir,10,7,5,0,1.00E-06,2,10,0.1,tanh,25,161,0.00024224,90.47008443,0.149362182,0.149362183,0.133118065,0.439657676,0.226916136,0.001347695,0.019109616,converge,0.047774223,0.177490753,0.000281096,0.010108792,0.024450168,0.61706204
8,sir,10,7,5,0,1.00E-06,1,15,0.1,tanh,25,236,0.000199781,102.4627213,0.065836706,0.065836703,0.096119657,0.061417051,0.069814398,0.001448313,0.02080944,converge,0.047861331,0.128159543,0.00037937,0.0114419,0.016290763,0.553213664
9,sir,10,7,5,0,1.00E-06,2,15,0.1,tanh,25,146,0.000179982,83.56759,0.154758947,0.154758937,0.141295748,0.139256717,0.139312699,0.005440853,0.033287596,converge,0.047977139,0.18839433,0.000580942,0.014401269,0.015241846,0.485614897
