Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
fhn,3,2,1,0,1.00E-06,1,10,0.1,tanh,30,29,4.00E-08,2.611593485,11.19694725,11.19694722,2.124223322,2674.423615,16.12004349,8.842203107,1.644124988,converge,0.001996943,3.186334983,13.37324673,1.867546039,13.43082485,1.933156847
fhn,3,2,1,0,1.00E-06,2,10,0.1,tanh,30,33,1.01E-07,4.265969515,51.61817594,51.61818034,4.983430568,1290474.353,396.2022606,9.497740873,1.812441864,converge,0.003424784,7.475145852,14.05346311,2.040882835,14.20946936,2.092468765
fhn,3,2,1,0,1.00E-06,1,15,0.1,tanh,30,30,4.82E-08,2.664605379,15.70644242,15.70644328,2.403407932,1295.970113,11.73846308,9.03055212,1.669174983,converge,0.003674095,3.605111898,13.79150942,1.863497625,13.94742581,1.959221842
fhn,3,2,1,0,1.00E-06,2,15,0.1,tanh,30,36,1.32E-07,4.518530607,16.33702943,16.33703003,2.708883142,9944.373663,33.69326613,8.964598147,1.67261875,converge,0.001411807,4.063324714,13.67650456,1.903690239,13.73565627,1.961334734
fhn,3,2,1,0,1.00E-06,1,20,0.1,tanh,30,30,4.82E-08,2.601100206,10.52863538,10.52863566,1.981083487,683.1100053,10.69791794,8.723748013,1.631112176,converge,0.008447283,2.97162523,13.64875889,1.835559207,13.8584485,1.962739324
fhn,3,2,1,0,1.00E-06,2,20,0.1,tanh,30,39,1.82E-07,5.268196821,45.63586993,45.6358724,4.772940031,360099.7727,217.1424796,9.497001394,1.772437763,converge,0.006845951,7.159410047,14.22498891,1.991047539,14.52189231,2.081529679
fhn,3,2,1,0.05,1.00E-06,1,10,0.1,tanh,30,29,4.38E-08,2.308524847,8.324605081,8.592008464,1.85754619,562.9164338,7.833166678,9.549495052,1.861865676,converge,0.002454768,2.786319284,11.62951615,1.956821887,11.76563541,2.026527476
fhn,3,2,1,0.05,1.00E-06,2,10,0.1,tanh,30,37,1.81E-07,5.012204647,64.5413566,64.96245524,5.787595026,933207.8961,355.0859512,10.90091021,2.12841539,converge,0.003769063,8.681392539,12.54285854,2.143799576,12.6986103,2.201883719
fhn,3,2,1,0.05,1.00E-06,1,15,0.1,tanh,30,30,5.02E-08,2.698613167,11.18811402,11.51820984,2.108228315,282.1818558,7.052541567,9.771916533,1.889117347,converge,0.003141611,3.162342472,12.00131451,1.941539315,12.3003378,2.045553775
fhn,3,2,1,0.05,1.00E-06,2,15,0.1,tanh,30,30,1.34E-07,3.589335442,10.5582303,10.85140686,2.116360938,1483.867712,11.84161896,9.774324816,1.903968569,converge,0.001447593,3.174541407,11.8581639,1.993508112,11.9488501,2.049102959
fhn,3,2,1,0.05,1.00E-06,1,20,0.1,tanh,30,31,4.91E-08,2.948670626,9.663197538,9.94061381,2.034293811,786.879286,11.03350531,9.422858799,1.839436388,converge,0.006084037,3.051440717,11.83107722,1.920919961,12.27892772,2.057125145
fhn,3,2,1,0.05,1.00E-06,2,20,0.1,tanh,30,34,2.09E-07,4.022912979,33.77599898,34.17219645,3.844954202,12622.98087,40.11339044,10.1813488,1.952600066,converge,0.003255536,5.767431304,12.33655967,1.997431378,12.69106533,2.104326911
fhn,3,2,1,0.1,1.00E-06,1,10,0.1,tanh,30,30,4.92E-08,2.362537146,6.424400475,6.96105957,1.773687347,119.303325,5.255218209,12.91173839,2.242511324,converge,0.005127918,2.66053102,11.28962789,2.106602325,11.4493507,2.170626179
fhn,3,2,1,0.1,1.00E-06,2,10,0.1,tanh,30,43,1.25E-07,5.72129941,59.62696468,60.70831299,5.472985977,110824.5124,127.8323581,15.63136763,2.689333646,converge,0.001055905,8.209478966,12.3145178,2.321339959,12.45305949,2.363970548
fhn,3,2,1,0.1,1.00E-06,1,15,0.1,tanh,30,33,5.36E-08,2.838150501,10.19868642,10.8435496,2.16056872,373.5510527,9.326252082,13.36049346,2.311023931,converge,0.004327777,3.240853079,11.73788301,2.127885321,12.15798512,2.222764369
fhn,3,2,1,0.1,1.00E-06,2,15,0.1,tanh,30,31,1.37E-07,4.030915499,9.123742284,9.80643514,1.994150725,442.9650586,7.620230827,13.750344,2.381639132,converge,0.002489783,2.991226088,11.63876995,2.172352846,11.70534166,2.21865483
fhn,3,2,1,0.1,1.00E-06,1,20,0.1,tanh,30,31,5.20E-08,2.873667002,9.490736127,10.0655131,2.102677593,1162.020954,13.03670684,12.88951316,2.244985039,converge,0.006037027,3.15401639,11.5233623,2.124326112,12.01945938,2.229190222
fhn,3,2,1,0.1,1.00E-06,2,20,0.1,tanh,30,34,1.84E-07,4.289974689,23.58539189,24.47775472,3.058753495,1234.87117,14.21619584,13.79698417,2.363615337,converge,0.002148257,4.588130242,11.92306939,2.158323545,12.2288998,2.234737966
fhn,5,4,1,0,1.00E-06,1,10,0.1,tanh,30,96,3.83E-05,26.80087328,1.203031675,1.203031616,0.725307999,6.784360709,1.167638868,5.983269422,1.011878093,converge,0.003285142,1.087961999,8.081504595,1.262669512,7.73329985,1.166430934
fhn,5,4,1,0,1.00E-06,2,10,0.1,tanh,30,107,5.77E-07,41.19569111,2.50930244,2.509302673,0.779903019,28658.07499,21.42505791,5.542960707,0.938095425,converge,0.007143234,1.169854528,8.042867177,1.257334062,7.698959166,1.1386959
fhn,5,4,1,0,1.00E-06,1,15,0.1,tanh,30,119,3.64E-06,34.57465291,0.74595691,0.745956879,0.579761204,11.61750094,1.367804122,11.04623436,1.144201766,converge,0.003136234,0.869641806,8.140732028,1.263132437,7.825811956,1.148093072
