Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
sir,3,2,1,0,1.00E-06,1,10,0.1,tanh,25,40,6.83E-08,3.068697214,2.511860043,2.511860318,0.711009497,0.079098031,0.209492986,0.033558085,0.106990649,converge,1.38E-05,0.948012663,0.026952197,0.088827613,0.026974062,0.089677676
sir,3,2,1,0,1.00E-06,2,10,0.1,tanh,25,44,2.39E-07,3.968904257,0.058137991,0.058137989,0.131891987,0.085834716,0.193673247,0.095441745,0.205977162,converge,6.86E-07,0.175855983,0.078289708,0.141154827,0.078296581,0.141007788
sir,3,2,1,0,1.00E-06,1,15,0.1,tanh,25,42,3.97E-07,2.984663963,0.946687525,0.946687571,0.457416843,3.363348864,0.982922591,0.035627561,0.128024909,converge,1.86E-05,0.609889124,0.041236789,0.105404465,0.041244605,0.10654942
sir,3,2,1,0,1.00E-06,2,15,0.1,tanh,25,49,1.02E-06,4.766083002,2.202199442,2.20219947,0.756187649,5.791848381,1.375337187,0.03331171,0.123289612,converge,0.012754389,1.008250199,0.035454772,0.099004143,0.040460754,0.135015848
sir,3,2,1,0,1.00E-06,1,20,0.1,tanh,25,41,2.81E-07,3.648828983,0.022475571,0.022475571,0.083476754,0.202172141,0.247782182,0.236855544,0.311808234,converge,3.18E-07,0.111302339,0.231257102,0.23769616,0.231212525,0.237489487
sir,3,2,1,0,1.00E-06,2,20,0.1,tanh,25,45,3.08E-07,5.063653946,0.487959937,0.487959925,0.322738683,0.038533963,0.134478482,0.023010335,0.097319978,converge,6.58E-05,0.430318244,0.025284025,0.085297212,0.025305326,0.087029607
sir,3,2,1,0.05,1.00E-06,1,10,0.1,tanh,25,50,1.86E-07,4.595041513,2.938579759,2.94007331,0.728167656,6.12915036,1.226631288,0.115592887,0.237005186,converge,0.000345226,0.970890208,0.081486167,0.15386298,0.081423848,0.151891341
sir,3,2,1,0.05,1.00E-06,2,10,0.1,tanh,25,30,1.03E-07,3.588880301,0.072645962,0.075611639,0.157022791,0.017594116,0.089981287,0.0209323,0.105653628,converge,4.88E-05,0.209363721,0.004657482,0.056948402,0.004599095,0.05609145
sir,3,2,1,0.05,1.00E-06,1,15,0.1,tanh,25,42,9.30E-08,3.396292448,0.103767158,0.104922687,0.187025464,0.301618588,0.355945129,0.050352018,0.153841426,converge,2.20E-06,0.249367285,0.043946076,0.120238836,0.043969791,0.120642916
sir,3,2,1,0.05,1.00E-06,2,15,0.1,tanh,25,59,1.79E-06,6.8705616,1.568874351,1.567938232,0.773848348,6.532573596,1.55203858,0.057134735,0.169752196,converge,0.015133376,1.031797797,0.047465551,0.125678536,0.062450083,0.187683769
sir,3,2,1,0.05,1.00E-06,1,20,0.1,tanh,25,32,7.48E-08,2.6466012,0.060761959,0.06392444,0.136293929,0.019464408,0.095188012,0.032149087,0.125785898,converge,6.88E-05,0.181725238,0.003801177,0.050655807,0.003540039,0.048147189
sir,3,2,1,0.05,1.00E-06,2,20,0.1,tanh,25,111,0.000480389,13.18902063,41.43336462,41.38715278,3.738631758,15.74499764,2.611754444,0.810273141,0.651135733,converge,14.0625195,4.984842344,0.583872608,0.415940909,1.91105173,1.17706898
sir,3,2,1,0.1,1.00E-06,1,10,0.1,tanh,25,39,9.14E-08,3.533803225,1.351472698,1.357370504,0.518629892,4.06577613,0.979398207,0.043284558,0.143265831,converge,1.50E-05,0.691506522,0.024266593,0.092268896,0.024282615,0.093042832
sir,3,2,1,0.1,1.00E-06,2,10,0.1,tanh,25,29,1.01E-07,3.18772459,0.07836838,0.083021259,0.166107192,0.019028068,0.099225779,0.023497426,0.117033484,converge,9.39E-05,0.221476256,0.005572181,0.058923919,0.005269949,0.057341374
sir,3,2,1,0.1,1.00E-06,1,15,0.1,tanh,25,34,7.29E-08,2.71214366,0.05056694,0.053680796,0.137625987,0.028350227,0.130199647,0.018756605,0.098681072,converge,1.08E-05,0.183501316,0.010691955,0.081260461,0.010672912,0.081234654
sir,3,2,1,0.1,1.00E-06,2,15,0.1,tanh,25,102,4.80E-07,11.97398019,1.459058284,1.455303786,0.752758922,17.91585181,2.39009995,0.067528801,0.179111298,converge,0.00069805,1.003678563,0.05467831,0.137732906,0.055869455,0.146544686
sir,3,2,1,0.1,1.00E-06,1,20,0.1,tanh,25,31,7.27E-08,2.588092566,0.073725751,0.078918484,0.159907415,0.024014152,0.114529492,0.044824286,0.15260092,converge,0.000179096,0.213209887,0.008580827,0.071712361,0.007536783,0.066552236
sir,3,2,1,0.1,1.00E-06,2,20,0.1,tanh,25,53,5.32E-07,6.083382607,3.907274814,3.903407796,1.006379439,0.338688435,0.429817436,0.121806661,0.238987759,converge,0.006278457,1.341839252,0.091854792,0.177719692,0.094829444,0.194544419
sir,5,4,1,0,1.00E-06,1,10,0.1,tanh,25,56,2.73E-06,13.7861836,0.033201233,0.033201234,0.105964788,0.004160529,0.028723538,0.009911253,0.079333406,converge,3.11E-05,0.141286384,0.002639781,0.019671796,0.002645581,0.020192444
sir,5,4,1,0,1.00E-06,2,10,0.1,tanh,25,50,2.89E-06,17.07590914,0.029247035,0.029247036,0.09877523,0.013200698,0.054692586,0.024528577,0.119626608,converge,9.68E-06,0.131700306,0.01069873,0.047070129,0.010683136,0.046918176
sir,5,4,1,0,1.00E-06,1,15,0.1,tanh,25,91,4.36E-05,23.16658354,0.071537868,0.07153787,0.15165198,0.01719096,0.08330359,0.022754029,0.107304709,converge,2.22E-05,0.20220264,0.013744394,0.054471982,0.013752754,0.054207021
sir,5,4,1,0,1.00E-06,2,15,0.1,tanh,25,66,1.38E-06,22.59322143,0.032720218,0.032720216,0.106617766,0.014361018,0.053844192,0.027032021,0.125970971,converge,8.04E-06,0.142157022,0.012824589,0.049978429,0.012819215,0.050060677
sir,5,4,1,0,1.00E-06,1,20,0.1,tanh,25,74,7.74E-06,18.52504015,0.031256254,0.031256253,0.101470997,0.011115587,0.053125727,0.015260534,0.085013375,converge,2.14E-05,0.135294662,0.011836883,0.05091849,0.011870237,0.050988006
sir,5,4,1,0,1.00E-06,2,20,0.1,tanh,25,243,0.000203493,81.60348105,2.730028165,2.730028076,0.878479785,1.872871354,0.676275768,0.017299772,0.087353195,converge,0.002886416,1.171306381,0.008153591,0.044152807,0.008712556,0.053602769
sir,5,4,1,0.05,1.00E-06,1,10,0.1,tanh,25,69,3.52E-05,17.02012587,0.041293665,0.044625696,0.118995247,0.048195235,0.120243685,0.061933696,0.17146342,converge,9.20E-05,0.158660329,0.057092829,0.13464394,0.05450689,0.126722057
sir,5,4,1,0.05,1.00E-06,2,10,0.1,tanh,25,94,1.70E-06,29.88427138,0.043321616,0.046705399,0.12085769,0.063829753,0.140639991,0.09370643,0.219520351,converge,7.61E-05,0.161143586,0.069686299,0.15538206,0.06707369,0.146747936
sir,5,4,1,0.05,1.00E-06,1,15,0.1,tanh,25,105,7.97E-06,25.40916896,0.04460775,0.048038715,0.122541843,0.071227986,0.150492973,0.100948625,0.230863879,converge,6.54E-05,0.163389124,0.079005809,0.16659129,0.075276155,0.15658509
