DDmod,noise,Runs,Dps/Run,lambda,AICc,BIC,CV,False Pos,False Neg,N_init,status
node,0,1,3,0.05,-12.57040726,4.218491052,0.217954471,5,1,0,converge
node,0,1,3,0.1,-18.0997941,-2.508120368,0.048158159,4,2,0,converge
node,0,1,3,0.2,,4.64141969,2.258569626,0,2,0,converge
node,0,1,3,0.3,,4.64141969,2.258569626,0,2,0,converge
node,0,1,3,0.4,13.73897076,8.837583053,13.19261128,0,3,0,converge
node,0,1,3,0.5,13.73897076,8.837583053,13.19261128,0,3,0,converge
node,0,1,3,0.6,13.73897076,8.837583053,13.19261128,0,3,0,converge
node,0,1,3,0.7,6.986524467,6.986524467,10.26604132,0,4,0,converge
node,0,1,3,0.8,6.986524467,6.986524467,10.26604132,0,4,0,converge
node,0,1,3,0.9,6.986524467,6.986524467,10.26604132,0,4,0,converge
node,0,1,3,1,6.986524467,6.986524467,10.26604132,0,4,0,converge
node,0,1,5,0.05,,,,9,1,0,exp diverge
node,0,1,5,0.1,,,,6,1,0,exp diverge
node,0,1,5,0.2,76.67634329,51.50465702,11330.67192,1,2,0,converge
node,0,1,5,0.3,49.82071866,48.09682324,10910.45809,1,4,0,converge
node,0,1,5,0.4,49.82071866,48.09682324,10910.45809,1,4,0,converge
node,0,1,5,0.5,49.82071866,48.09682324,10910.45809,1,4,0,converge
node,0,1,5,0.6,11.52990259,11.52990259,10.03401196,0,4,0,converge
node,0,1,5,0.7,11.52990259,11.52990259,10.03401196,0,4,0,converge
node,0,1,5,0.8,11.52990259,11.52990259,10.03401196,0,4,0,converge
node,0,1,5,0.9,11.52990259,11.52990259,10.03401196,0,4,0,converge
node,0,1,5,1,11.52990259,11.52990259,10.03401196,0,4,0,converge
node,0,1,10,0.05,,,,10,1,0,exp diverge
node,0,1,10,0.1,127.5148701,114.0277956,28324.62975,3,2,0,converge
node,0,1,10,0.2,127.5148701,114.0277956,28324.62975,3,2,0,converge
node,0,1,10,0.3,106.7679539,105.6588384,24474.00526,1,3,0,converge
node,0,1,10,0.4,15.61363292,15.41621802,3.711229756,0,3,0,converge
node,0,1,10,0.5,15.61363292,15.41621802,3.711229756,0,3,0,converge
node,0,1,10,0.6,25.38002988,25.38002988,12.65437478,0,4,0,converge
node,0,1,10,0.7,25.38002988,25.38002988,12.65437478,0,4,0,converge
node,0,1,10,0.8,25.38002988,25.38002988,12.65437478,0,4,0,converge
node,0,1,10,0.9,25.38002988,25.38002988,12.65437478,0,4,0,converge
node,0,1,10,1,25.38002988,25.38002988,12.65437478,0,4,0,converge
node,0,3,3,0.05,54.15989544,13.34324291,1.017924917,3,1,0,converge
node,0,3,3,0.1,15.54762862,6.33652693,0.761484312,1,1,0,converge
node,0,3,3,0.2,15.54762862,6.33652693,0.761484312,1,1,0,converge
node,0,3,3,0.3,15.54762862,6.33652693,0.761484312,1,1,0,converge
node,0,3,3,0.4,15.54762862,6.33652693,0.761484312,1,1,0,converge
node,0,3,3,0.5,15.54762862,6.33652693,0.761484312,1,1,0,converge
node,0,3,3,0.6,30.21613375,28.6105829,14.74171938,0,2,0,converge
node,0,3,3,0.7,30.21613375,28.6105829,14.74171938,0,2,0,converge
node,0,3,3,0.8,30.21613375,28.6105829,14.74171938,0,2,0,converge
node,0,3,3,0.9,30.21613375,28.6105829,14.74171938,0,2,0,converge
node,0,3,3,1,30.21613375,28.6105829,14.74171938,0,2,0,converge
node,0,3,5,0.05,,,,8,0,0,converge
node,0,3,5,0.1,,,,5,0,0,converge
node,0,3,5,0.2,,,,2,1,0,converge
node,0,3,5,0.3,19.9158217,19.85815412,2.186423056,0,1,0,converge
node,0,3,5,0.4,38.48109065,38.89719105,9.319161995,0,2,0,converge
node,0,3,5,0.5,38.48109065,38.89719105,9.319161995,0,2,0,converge
node,0,3,5,0.6,38.48109065,38.89719105,9.319161995,0,2,0,converge
node,0,3,5,0.7,38.48109065,38.89719105,9.319161995,0,2,0,converge
node,0,3,5,0.8,38.48109065,38.89719105,9.319161995,0,2,0,converge
node,0,3,5,0.9,38.48109065,38.89719105,9.319161995,0,2,0,converge
node,0,3,5,1,38.48109065,38.89719105,9.319161995,0,2,0,converge
node,0,3,10,0.05,,,,8,0,0,converge
node,0,3,10,0.1,,,,3,0,0,converge
node,0,3,10,0.2,,,,3,1,0,converge
node,0,3,10,0.3,,,,2,1,0,converge
node,0,3,10,0.4,,,,2,1,0,converge
node,0,3,10,0.5,,,,2,1,0,converge
node,0,3,10,0.6,,,,2,1,0,converge
node,0,3,10,0.7,162.5688108,163.8271511,210.0891134,0,3,0,converge
node,0,3,10,0.8,162.5688108,163.8271511,210.0891134,0,3,0,converge
node,0,3,10,0.9,70.57736358,72.9353139,9.06508878,0,2,0,converge
node,0,3,10,1,72.8431615,72.8431615,11.33738173,0,4,0,converge
node,0,5,3,0.05,,,,9,0,0,SINDY diverge
node,0,5,3,0.1,84.78064438,55.15309619,7.783786829,5,0,0,converge
node,0,5,3,0.2,,,,3,2,0,converge
node,0,5,3,0.3,29.79362154,30.20972194,5.222144297,0,2,0,converge
node,0,5,3,0.4,29.79362154,30.20972194,5.222144297,0,2,0,converge
node,0,5,3,0.5,29.79362154,30.20972194,5.222144297,0,2,0,converge
node,0,5,3,0.6,29.79362154,30.20972194,5.222144297,0,2,0,converge
node,0,5,3,0.7,29.79362154,30.20972194,5.222144297,0,2,0,converge
node,0,5,3,0.8,36.52459169,36.52459169,11.41550797,0,4,0,converge
node,0,5,3,0.9,36.52459169,36.52459169,11.41550797,0,4,0,converge
node,0,5,3,1,36.52459169,36.52459169,11.41550797,0,4,0,converge
node,0,5,5,0.05,,,,10,0,0,converge
node,0,5,5,0.1,,,,8,0,0,converge
node,0,5,5,0.2,,,,7,0,0,converge
node,0,5,5,0.3,,,,7,0,0,converge
node,0,5,5,0.4,18.03634248,20.55011282,1.546105848,0,1,0,converge
node,0,5,5,0.5,18.03634248,20.55011282,1.546105848,0,1,0,converge
node,0,5,5,0.6,-26.98578588,-24.11028258,0.227767152,0,0,0,converge
node,0,5,5,0.7,59.15003245,61.04232955,8.883388891,0,2,0,converge
node,0,5,5,0.8,59.15003245,61.04232955,8.883388891,0,2,0,converge
node,0,5,5,0.9,59.15003245,61.04232955,8.883388891,0,2,0,converge
node,0,5,5,1,130.8583117,131.9032745,171.9796141,0,3,0,converge
node,0,5,10,0.05,,,,7,0,0,converge
node,0,5,10,0.1,,,,3,0,0,converge
node,0,5,10,0.2,,,,2,0,0,converge
node,0,5,10,0.3,-76.52456064,-69.76535751,0.181179144,0,0,0,converge
node,0,5,10,0.4,-76.52456064,-69.76535751,0.181179144,0,0,0,converge
node,0,5,10,0.5,-76.52456064,-69.76535751,0.181179144,0,0,0,converge
node,0,5,10,0.6,-76.52456064,-69.76535751,0.181179144,0,0,0,converge
node,0,5,10,0.7,-76.52456064,-69.76535751,0.181179144,0,0,0,converge
node,0,5,10,0.8,-76.52456064,-69.76535751,0.181179144,0,0,0,converge
node,0,5,10,0.9,258.6332818,260.4619714,169.1860452,0,3,0,converge
node,0,5,10,1,258.6332818,260.4619714,169.1860452,0,3,0,converge
node,0,10,3,0.05,,,,11,0,0,converge
node,0,10,3,0.1,,,,11,1,0,converge
node,0,10,3,0.2,,,,10,1,0,converge
node,0,10,3,0.3,44.5129247,48.51771423,3.201963312,1,1,0,converge
node,0,10,3,0.4,42.73072699,46.01124221,3.298897546,0,1,0,converge
node,0,10,3,0.5,69.96531018,72.3232605,8.882018662,0,2,0,converge
node,0,10,3,0.6,69.96531018,72.3232605,8.882018662,0,2,0,converge
node,0,10,3,0.7,69.96531018,72.3232605,8.882018662,0,2,0,converge
node,0,10,3,0.8,69.96531018,72.3232605,8.882018662,0,2,0,converge
node,0,10,3,0.9,69.96531018,72.3232605,8.882018662,0,2,0,converge
node,0,10,3,1,171.867391,173.1257312,286.4272169,0,3,0,converge
node,0,10,5,0.05,,,,6,0,0,exp diverge
node,0,10,5,0.1,,,,3,0,0,converge
node,0,10,5,0.2,290.8240662,297.5832693,281.0980513,1,1,0,converge
node,0,10,5,0.3,52.1284092,57.34273909,2.489628248,0,1,0,converge
node,0,10,5,0.4,52.1284092,57.34273909,2.489628248,0,1,0,converge
node,0,10,5,0.5,52.1284092,57.34273909,2.489628248,0,1,0,converge
node,0,10,5,0.6,52.1284092,57.34273909,2.489628248,0,1,0,converge
node,0,10,5,0.7,52.1284092,57.34273909,2.489628248,0,1,0,converge
node,0,10,5,0.8,106.7217016,110.2904284,7.762680104,0,2,0,converge
node,0,10,5,0.9,106.7217016,110.2904284,7.762680104,0,2,0,converge
node,0,10,5,1,106.7217016,110.2904284,7.762680104,0,2,0,converge
node,0,10,10,0.05,,,,4,0,0,exp diverge
node,0,10,10,0.1,,,,2,1,0,converge
node,0,10,10,0.2,561.7604341,571.7600622,253.0010945,1,1,0,converge
node,0,10,10,0.3,69.40669547,76.97220603,1.880555016,0,1,0,converge
node,0,10,10,0.4,69.40669547,76.97220603,1.880555016,0,1,0,converge
node,0,10,10,0.5,69.40669547,76.97220603,1.880555016,0,1,0,converge
node,0,10,10,0.6,69.40669547,76.97220603,1.880555016,0,1,0,converge
node,0,10,10,0.7,197.3802165,202.4668455,6.907204872,0,2,0,converge
node,0,10,10,0.8,197.3802165,202.4668455,6.907204872,0,2,0,converge
node,0,10,10,0.9,467.1732469,469.7376008,104.7235798,0,3,0,converge
node,0,10,10,1,467.1732469,469.7376008,104.7235798,0,3,0,converge
node,5,1,3,0.05,-11.09849209,5.690406221,0.355997811,5,1,0,converge
node,5,1,3,0.1,-11.26136521,4.330308521,0.470580423,4,2,0,converge
node,5,1,3,0.2,-10.97415089,5.42029826,1.407689491,2,2,0,converge
node,5,1,3,0.3,,4.071840823,1.86800699,0,2,0,converge
node,5,1,3,0.4,14.3924154,9.49102769,16.40312393,0,3,0,converge
node,5,1,3,0.5,14.3924154,9.49102769,16.40312393,0,3,0,converge
node,5,1,3,0.6,14.3924154,9.49102769,16.40312393,0,3,0,converge
node,5,1,3,0.7,14.3924154,9.49102769,16.40312393,0,3,0,converge
node,5,1,3,0.8,14.3924154,9.49102769,16.40312393,0,3,0,converge
node,5,1,3,0.9,8.600454663,8.600454663,17.58099028,0,4,0,converge
node,5,1,3,1,8.600454663,8.600454663,17.58099028,0,4,0,converge
node,5,1,5,25,25,25,25,25,25,0,DDmod diverge
node,5,1,10,0.05,,,,7,2,0,exp diverge
node,5,1,10,0.1,,,,8,3,0,exp diverge
node,5,1,10,0.2,80.18768239,77.09543767,1117.409388,2,3,0,converge
node,5,1,10,0.3,102.1909208,101.0818052,15485.56388,1,3,0,converge
node,5,1,10,0.4,102.1909208,101.0818052,15485.56388,1,3,0,converge
node,5,1,10,0.5,16.98654745,16.78913255,4.257383397,0,3,0,converge
node,5,1,10,0.6,16.98654745,16.78913255,4.257383397,0,3,0,converge
node,5,1,10,0.7,16.98654745,16.78913255,4.257383397,0,3,0,converge
node,5,1,10,0.8,29.77624164,29.77624164,19.64109715,0,4,0,converge
node,5,1,10,0.9,29.77624164,29.77624164,19.64109715,0,4,0,converge
node,5,1,10,1,29.77624164,29.77624164,19.64109715,0,4,0,converge
node,5,3,3,0.05,-78.37325122,33.59899456,3.639553378,7,1,0,converge
node,5,3,3,0.1,,20.22180806,1.341487468,5,1,0,converge
node,5,3,3,0.2,20.031305,10.8202033,1.253200345,1,1,0,converge
node,5,3,3,0.3,14.52956537,10.3212391,1.513456567,0,1,0,converge
node,5,3,3,0.4,31.23272395,29.62717311,16.50454826,0,2,0,converge
